pollster,date,party,value,url
21KK,2024-10-01,DK,3,https://datawrapper.dwcdn.net/ENBVR/14/
21KK,2024-10-01,Egyéb párt,6,https://datawrapper.dwcdn.net/ENBVR/14/
21KK,2024-10-01,Fidesz,29,https://datawrapper.dwcdn.net/ENBVR/14/
21KK,2024-10-01,MKKP,3,https://datawrapper.dwcdn.net/ENBVR/14/
21KK,2024-10-01,Mi Hazánk,5,https://datawrapper.dwcdn.net/ENBVR/14/
21KK,2024-10-01,Pártnélküli,28,https://datawrapper.dwcdn.net/ENBVR/14/
21KK,2024-10-01,Tisza,26,https://datawrapper.dwcdn.net/ENBVR/14/
21KK,2025-04-01,DK,2,https://datawrapper.dwcdn.net/ENBVR/14/
21KK,2025-04-01,Egyéb párt,4,https://datawrapper.dwcdn.net/ENBVR/14/
21KK,2025-04-01,Fidesz,28,https://datawrapper.dwcdn.net/ENBVR/14/
21KK,2025-04-01,MKKP,3,https://datawrapper.dwcdn.net/ENBVR/14/
21KK,2025-04-01,Mi Hazánk,4,https://datawrapper.dwcdn.net/ENBVR/14/
21KK,2025-04-01,Pártnélküli,25,https://datawrapper.dwcdn.net/ENBVR/14/
21KK,2025-04-01,Tisza,34,https://datawrapper.dwcdn.net/ENBVR/14/
21KK,2025-06-01,DK,3,https://datawrapper.dwcdn.net/ENBVR/14/
21KK,2025-06-01,Egyéb párt,1,https://datawrapper.dwcdn.net/ENBVR/14/
21KK,2025-06-01,Fidesz,25,https://datawrapper.dwcdn.net/ENBVR/14/
21KK,2025-06-01,MKKP,2,https://datawrapper.dwcdn.net/ENBVR/14/
21KK,2025-06-01,Mi Hazánk,5,https://datawrapper.dwcdn.net/ENBVR/14/
21KK,2025-06-01,Pártnélküli,32,https://datawrapper.dwcdn.net/ENBVR/14/
21KK,2025-06-01,Tisza,32,https://datawrapper.dwcdn.net/ENBVR/14/
21KK,2025-08-01,DK,2,https://datawrapper.dwcdn.net/ENBVR/14/
21KK,2025-08-01,Egyéb párt,1,https://datawrapper.dwcdn.net/ENBVR/14/
21KK,2025-08-01,Fidesz,26,https://datawrapper.dwcdn.net/ENBVR/14/
21KK,2025-08-01,MKKP,2,https://datawrapper.dwcdn.net/ENBVR/14/
21KK,2025-08-01,Mi Hazánk,5,https://datawrapper.dwcdn.net/ENBVR/14/
21KK,2025-08-01,Pártnélküli,30,https://datawrapper.dwcdn.net/ENBVR/14/
21KK,2025-08-01,Tisza,34,https://datawrapper.dwcdn.net/ENBVR/14/
21KK,2025-10-01,DK,2,https://datawrapper.dwcdn.net/ENBVR/14/
21KK,2025-10-01,Egyéb párt,1,https://datawrapper.dwcdn.net/ENBVR/14/
21KK,2025-10-01,Fidesz,26,https://datawrapper.dwcdn.net/ENBVR/14/
21KK,2025-10-01,MKKP,1,https://datawrapper.dwcdn.net/ENBVR/14/
21KK,2025-10-01,Mi Hazánk,5,https://datawrapper.dwcdn.net/ENBVR/14/
21KK,2025-10-01,Pártnélküli,32,https://datawrapper.dwcdn.net/ENBVR/14/
21KK,2025-10-01,Tisza,33,https://datawrapper.dwcdn.net/ENBVR/14/
21KK,2025-11-01,DK,2,https://datawrapper.dwcdn.net/ENBVR/14/
21KK,2025-11-01,Egyéb párt,1,https://datawrapper.dwcdn.net/ENBVR/14/
21KK,2025-11-01,Fidesz,27,https://datawrapper.dwcdn.net/ENBVR/14/
21KK,2025-11-01,MKKP,2,https://datawrapper.dwcdn.net/ENBVR/14/
21KK,2025-11-01,Mi Hazánk,4,https://datawrapper.dwcdn.net/ENBVR/14/
21KK,2025-11-01,Pártnélküli,33,https://datawrapper.dwcdn.net/ENBVR/14/
21KK,2025-11-01,Tisza,31,https://datawrapper.dwcdn.net/ENBVR/14/
21KK,2025-12-01,DK,2,https://datawrapper.dwcdn.net/ENBVR/14/
21KK,2025-12-01,Egyéb párt,0,https://datawrapper.dwcdn.net/ENBVR/14/
21KK,2025-12-01,Fidesz,26,https://datawrapper.dwcdn.net/ENBVR/14/
21KK,2025-12-01,MKKP,2,https://datawrapper.dwcdn.net/ENBVR/14/
21KK,2025-12-01,Mi Hazánk,5,https://datawrapper.dwcdn.net/ENBVR/14/
21KK,2025-12-01,Pártnélküli,31,https://datawrapper.dwcdn.net/ENBVR/14/
21KK,2025-12-01,Tisza,34,https://datawrapper.dwcdn.net/ENBVR/14/
