helyseg_nev,ksh_kod,jogallas,varmegye,jaras_kod,jaras_nev,jaras_szekhelye,ph_kod,ph_szekhelye,terulet_ha,lako_nepesseg,lakasok_szama,becslult_terulet,bolgar,gorog,horvat,lengyel,nemet,ormeny,roma,roman,ruszin,szerb,szlovak,szloven,ukran
Aba,17376.0,város,Fejér,085 0,Székesfehérvári,Székesfehérvár,1.0,–,8805.0,4371,1570,,,,,,,,,,,,,,
Abádszalók,12441.0,város,Jász-Nagykun-Szolnok,164 0,Kunhegyesi,Kunhegyes,2.0,[Helyben],13222.999999999998,3727,2018,,,,,,,,1.0,,,,,,
Abaliget,12548.0,község,Baranya,028 0,Pécsi,Pécs,5.0,Orfű,1609.0,596,286,,,,,,1.0,,1.0,,,,,,
Abasár,24554.0,község,Heves,106 0,Gyöngyösi,Gyöngyös,1.0,–,2082.0,2473,1175,,,,,,,,,,,,,,
Abaújalpár,15662.0,község,Borsod-Abaúj-Zemplén,057 0,Gönci,Gönc,5.0,Abaújkér,848.0,73,54,,,,,,,,,,,,,,
Abaújkér,26718.0,község,Borsod-Abaúj-Zemplén,057 0,Gönci,Gönc,2.0,[Helyben],1727.0,547,278,,,,,,,,1.0,,,,,,
Abaújlak,2820.0,község,Borsod-Abaúj-Zemplén,067 0,Szikszói,Szikszó,5.0,Selyeb,706.0,64,75,,,,,,,,,,,,,,
Abaújszántó,3595.0,város,Borsod-Abaúj-Zemplén,057 0,Gönci,Gönc,2.0,[Helyben],4739.0,2671,1161,,,,,,,,1.0,,,,,,1.0
Abaújszolnok,26338.0,község,Borsod-Abaúj-Zemplén,067 0,Szikszói,Szikszó,5.0,Selyeb,867.0,227,50,,,,,,,,1.0,,,,,,
Abaújvár,2273.0,község,Borsod-Abaúj-Zemplén,057 0,Gönci,Gönc,5.0,Gönc,735.0,229,139,,,,,,,,,,,,,,
Abda,11882.0,község,Győr-Moson-Sopron,087 0,Győri,Győr,2.0,[Helyben],1902.0,3155,1226,,,,,,,,,,,,,,
Abod,10357.0,község,Borsod-Abaúj-Zemplén,055 0,Edelényi,Edelény,5.0,Edelény,3116.0,136,126,,,,,,,,,,1.0,,,,
Abony,27872.0,város,Pest,124 0,Ceglédi,Cegléd,1.0,–,12797.0,14603,5963,,,,,,,,1.0,,,,,,
Ábrahámhegy,4561.0,község,Veszprém,189 0,Tapolcai,Tapolca,5.0,Badacsonytomaj,1488.0,592,392,,,,,,,,,,,,,,
Ács,4428.0,város,Komárom-Esztergom,112 0,Komáromi,Komárom,1.0,–,10385.0,6920,2791,,,,,,,,1.0,,,,,,
Acsa,18573.0,község,Pest,138 0,Váci,Vác,2.0,[Helyben],2694.0,1320,476,,,,,,,,1.0,,,,1.0,,
Acsád,7214.0,község,Vas,181 0,Szombathelyi,Szombathely,5.0,Nemesbőd,1434.0,623,189,,,,,,,,,,,,,,
Acsalag,33385.0,község,Győr-Moson-Sopron,086 0,Csornai,Csorna,5.0,Farád,1042.0,448,223,,,,,,,,,,,,,,
Ácsteszér,18139.0,község,Komárom-Esztergom,111 0,Kisbéri,Kisbér,5.0,Bakonyszombathely,1771.0,660,239,,,,,,,,,,,,,,
Adács,23241.0,község,Heves,106 0,Gyöngyösi,Gyöngyös,1.0,–,3794.0,2507,1192,,,,,,,,1.0,,,,,,
Ádánd,6080.0,község,Somogy,146 0,Siófoki,Siófok,2.0,[Helyben],2952.0,2049,835,,,,,,,,1.0,,,,,,
Adásztevel,7302.0,község,Veszprém,187 0,Pápai,Pápa,2.0,[Helyben],836.9999999999999,752,320,,,,,,1.0,,,,,,,,
Adony,8925.0,város,Fejér,078 0,Dunaújvárosi,Dunaújváros,2.0,[Helyben],6105.0,4103,1685,,,,,,1.0,,,,,,,,
Adorjánháza,31307.0,község,Veszprém,186 0,Devecseri,Devecser,5.0,Somlóvásárhely,1143.0,349,197,,,,,,,,1.0,,,,,,
Adorjás,6868.0,község,Baranya,030 0,Sellyei,Sellye,5.0,Baksa,810.0,160,59,,,,,,,,1.0,,,,,,
Ág,25812.0,község,Baranya,025 0,Hegyháti,Sásd,5.0,Vásárosdombó,1203.0,153,67,,,,,,,,1.0,,,,,,
Ágasegyháza,17686.0,község,Bács-Kiskun,038 0,Kecskeméti,Kecskemét,1.0,–,5587.0,1861,897,,,,,,,,,,,,,,
Ágfalva,4880.0,község,Győr-Moson-Sopron,091 0,Soproni,Sopron,1.0,–,1308.0,2409,866,,,,,,1.0,,,,,,,,
Aggtelek,9362.0,község,Borsod-Abaúj-Zemplén,063 0,Putnoki,Putnok,5.0,Ragály,4382.0,443,241,,,,,,,,,,,,,,
Agyagosszergény,29407.0,község,Győr-Moson-Sopron,088 0,Kapuvári,Kapuvár,5.0,Vitnyéd,1988.0,926,391,,,,,,,,,,,,,,
Ajak,8776.0,város,Szabolcs-Szatmár-Bereg,153 0,Kisvárdai,Kisvárda,1.0,–,2476.0,3218,1289,,,,,,,,,,,,,,
Ajka,6673.0,város,Veszprém,183 1,Ajkai,Ajka,2.0,[Helyben],9504.0,26007,12908,,,,,,1.0,,1.0,,,,,,
Aka,6682.0,község,Komárom-Esztergom,111 0,Kisbéri,Kisbér,5.0,Tárkány,1809.0,250,125,,,,,,,,,,,,,,
Akasztó,21944.0,község,Bács-Kiskun,039 0,Kiskőrösi,Kiskőrös,1.0,–,6488.0,3113,1533,,,,,,,,,,,,,,
Alacska,33093.0,község,Borsod-Abaúj-Zemplén,058 0,Kazincbarcikai,Kazincbarcika,5.0,Berente,856.0,599,267,,,,,,,,,,,,,,
Alap,26824.0,község,Fejér,084 0,Sárbogárdi,Sárbogárd,2.0,[Helyben],4829.0,1840,848,,,,,,,,,,,,,,
Alattyán,25265.0,község,Jász-Nagykun-Szolnok,161 0,Jászapáti,Jászapáti,1.0,–,3429.0,2060,884,,,,,,,,1.0,,,,,,
Albertirsa,31653.0,város,Pest,124 0,Ceglédi,Cegléd,2.0,[Helyben],7300.0,13950,5285,,,,,,,,1.0,,,,1.0,,
Alcsútdoboz,15176.0,község,Fejér,077 0,Bicskei,Bicske,5.0,Felcsút,5071.0,1507,577,,,,,,,,,,,,,,
Aldebrő,6345.0,község,Heves,105 0,Füzesabonyi,Füzesabony,5.0,Kápolna,2178.0,689,347,,,,,,1.0,,,,,,,,
Algyő,34245.0,nagyközség,Csongrád-Csanád,075 0,Szegedi,Szeged,1.0,–,7577.0,5364,2093,,,,,,,,1.0,,,,,,
Alibánfa,2644.0,község,Zala,197 0,Zalaegerszegi,Zalaegerszeg,5.0,Pókaszepetk,584.0,428,171,,,,,,,,,,,,,,
Almamellék,13329.0,község,Baranya,033 0,Szigetvári,Szigetvár,5.0,Szentlászló,4433.0,373,170,,,,,,1.0,,,,,,,,
Almásfüzitő,32346.0,község,Komárom-Esztergom,112 0,Komáromi,Komárom,1.0,–,818.0,2016,1119,,,,,,,,,,,,,,
Almásháza,23384.0,község,Zala,197 0,Zalaegerszegi,Zalaegerszeg,5.0,Nagykapornak,498.00000000000006,75,40,,,,,,,,,,,,,,
Almáskamarás,29595.0,község,Békés,049 0,Mezőkovácsházai,Mezőkovácsháza,5.0,Kunágota,1471.0,643,421,,,,,,1.0,,,,,,,,
Almáskeresztúr,20376.0,község,Baranya,033 0,Szigetvári,Szigetvár,5.0,Mozsgó,1303.0,85,51,,,,,,,,,,,,,,
Álmosd,27641.0,község,Hajdú-Bihar,101 0,Nyíradonyi,Nyíradony,2.0,[Helyben],3413.0000000000005,1638,675,,,,,,,,1.0,,,,,,
Alsóberecki,20482.0,község,Borsod-Abaúj-Zemplén,065 0,Sátoraljaújhelyi,Sátoraljaújhely,5.0,Mikóháza,686.0,654,280,,,,,,,,,,,,,,
Alsóbogát,34184.0,község,Somogy,143 0,Kaposvári,Kaposvár,5.0,Somogyjád,1201.0,219,98,,,,,,,,,,,,,,
Alsódobsza,19664.0,község,Borsod-Abaúj-Zemplén,066 0,Szerencsi,Szerencs,5.0,Megyaszó,1068.0,294,137,,,,,,,,,,,,,,
Alsógagy,14429.0,község,Borsod-Abaúj-Zemplén,056 0,Encsi,Encs,5.0,Szalaszend,628.0,86,51,,,,,,,,,,,,,,
Alsómocsolád,17385.0,község,Baranya,025 0,Hegyháti,Sásd,5.0,Mágocs,1300.0,264,134,,,,,,,,,,,,,,
Alsónána,29665.0,község,Tolna,173 0,Szekszárdi,Szekszárd,5.0,Bátaszék,1314.0,611,281,,,,,,,,,,,,,,
Alsónémedi,23199.0,nagyközség,Pest,129 0,Gyáli,Gyál,1.0,–,4907.0,5584,2193,,,,,,,,,,,,,,
Alsónemesapáti,19512.0,község,Zala,197 0,Zalaegerszegi,Zalaegerszeg,5.0,Nagypáli,1451.0,668,274,,,,,,,,,,,,,,
Alsónyék,11563.0,község,Tolna,173 0,Szekszárdi,Szekszárd,5.0,Bátaszék,3201.0,646,299,,,,,,,,,,,,,,
