date,measure,tax,scope,netto_koncepcio,value,period,incl_kozfoglalk
2023-01,atlag,brutto,adminisztrativ_szolgaltatasok,,455000,monthly,False
2023-01,atlag,brutto,banyaszat,,554400,monthly,False
2023-01,atlag,brutto,egeszsegugyi_szocialis_ellatas,,582600,monthly,False
2023-01,atlag,brutto,egyeb_szolgaltatas,,412800,monthly,False
2023-01,atlag,brutto,energiaipar,,711400,monthly,False
2023-01,atlag,brutto,epitoipar,,407100,monthly,False
2023-01,atlag,brutto,feldolgozoipar,,561300,monthly,False
2023-01,atlag,brutto,informacio_kommunikacio,,867200,monthly,False
2023-01,atlag,brutto,ingatlanugyletek,,443600,monthly,False
2023-01,atlag,brutto,kereskedelem,,481400,monthly,False
2023-01,atlag,brutto,kozigazgatas,,579600,monthly,False
2023-01,atlag,brutto,mezogazdasag,,398900,monthly,False
2023-01,atlag,brutto,muveszet_szabadido,,502800,monthly,False
2023-01,atlag,brutto,oktatas,,490000,monthly,False
2023-01,atlag,brutto,penzugyi_szolgaltatas,,870600,monthly,False
2023-01,atlag,brutto,szallashely_szolgaltatas_vendeglatas,,350700,monthly,False
2023-01,atlag,brutto,szallitas_raktarozas,,479100,monthly,False
2023-01,atlag,brutto,tudomanyos_muszaki_tevekenyseg,,685200,monthly,False
2023-01,atlag,brutto,viz_es_hulladekgazdalkodas,,447100,monthly,False
2023-02,atlag,brutto,adminisztrativ_szolgaltatasok,,447000,monthly,False
2023-02,atlag,brutto,banyaszat,,589600,monthly,False
2023-02,atlag,brutto,egeszsegugyi_szocialis_ellatas,,580800,monthly,False
2023-02,atlag,brutto,egyeb_szolgaltatas,,412500,monthly,False
2023-02,atlag,brutto,energiaipar,,758800,monthly,False
2023-02,atlag,brutto,epitoipar,,408500,monthly,False
2023-02,atlag,brutto,feldolgozoipar,,557600,monthly,False
2023-02,atlag,brutto,informacio_kommunikacio,,907600,monthly,False
2023-02,atlag,brutto,ingatlanugyletek,,451500,monthly,False
2023-02,atlag,brutto,kereskedelem,,494700,monthly,False
2023-02,atlag,brutto,kozigazgatas,,586300,monthly,False
2023-02,atlag,brutto,mezogazdasag,,394800,monthly,False
2023-02,atlag,brutto,muveszet_szabadido,,503300,monthly,False
2023-02,atlag,brutto,oktatas,,489700,monthly,False
2023-02,atlag,brutto,penzugyi_szolgaltatas,,813800,monthly,False
2023-02,atlag,brutto,szallashely_szolgaltatas_vendeglatas,,348300,monthly,False
2023-02,atlag,brutto,szallitas_raktarozas,,500000,monthly,False
2023-02,atlag,brutto,tudomanyos_muszaki_tevekenyseg,,679000,monthly,False
2023-02,atlag,brutto,viz_es_hulladekgazdalkodas,,463400,monthly,False
2023-03,atlag,brutto,adminisztrativ_szolgaltatasok,,495000,monthly,False
2023-03,atlag,brutto,banyaszat,,643700,monthly,False
2023-03,atlag,brutto,egeszsegugyi_szocialis_ellatas,,586600,monthly,False
2023-03,atlag,brutto,egyeb_szolgaltatas,,421300,monthly,False
2023-03,atlag,brutto,energiaipar,,947500,monthly,False
2023-03,atlag,brutto,epitoipar,,426100,monthly,False
2023-03,atlag,brutto,feldolgozoipar,,646900,monthly,False
2023-03,atlag,brutto,informacio_kommunikacio,,928300,monthly,False
2023-03,atlag,brutto,ingatlanugyletek,,467100,monthly,False
2023-03,atlag,brutto,kereskedelem,,522100,monthly,False
2023-03,atlag,brutto,kozigazgatas,,630000,monthly,False
2023-03,atlag,brutto,mezogazdasag,,423600,monthly,False
2023-03,atlag,brutto,muveszet_szabadido,,508700,monthly,False
2023-03,atlag,brutto,oktatas,,503500,monthly,False
2023-03,atlag,brutto,penzugyi_szolgaltatas,,1032500,monthly,False
2023-03,atlag,brutto,szallashely_szolgaltatas_vendeglatas,,361500,monthly,False
2023-03,atlag,brutto,szallitas_raktarozas,,506800,monthly,False
2023-03,atlag,brutto,tudomanyos_muszaki_tevekenyseg,,797900,monthly,False
2023-03,atlag,brutto,viz_es_hulladekgazdalkodas,,496900,monthly,False
2023-04,atlag,brutto,adminisztrativ_szolgaltatasok,,471700,monthly,False
2023-04,atlag,brutto,banyaszat,,645700,monthly,False
2023-04,atlag,brutto,egeszsegugyi_szocialis_ellatas,,592700,monthly,False
2023-04,atlag,brutto,egyeb_szolgaltatas,,423400,monthly,False
2023-04,atlag,brutto,energiaipar,,873600,monthly,False
2023-04,atlag,brutto,epitoipar,,422700,monthly,False
2023-04,atlag,brutto,feldolgozoipar,,613800,monthly,False
2023-04,atlag,brutto,informacio_kommunikacio,,938900,monthly,False
2023-04,atlag,brutto,ingatlanugyletek,,483300,monthly,False
2023-04,atlag,brutto,kereskedelem,,505900,monthly,False
2023-04,atlag,brutto,kozigazgatas,,632800,monthly,False
2023-04,atlag,brutto,mezogazdasag,,428600,monthly,False
2023-04,atlag,brutto,muveszet_szabadido,,527800,monthly,False
2023-04,atlag,brutto,oktatas,,502800,monthly,False
2023-04,atlag,brutto,penzugyi_szolgaltatas,,1057300,monthly,False
2023-04,atlag,brutto,szallashely_szolgaltatas_vendeglatas,,366600,monthly,False
2023-04,atlag,brutto,szallitas_raktarozas,,544400,monthly,False
2023-04,atlag,brutto,tudomanyos_muszaki_tevekenyseg,,745200,monthly,False
2023-04,atlag,brutto,viz_es_hulladekgazdalkodas,,511000,monthly,False
2023-05,atlag,brutto,adminisztrativ_szolgaltatasok,,482100,monthly,False
2023-05,atlag,brutto,banyaszat,,714600,monthly,False
