country,year,rel_val-2004,rel_val-2010,value-2004,% of DE-2004,% of EU8-2004,var_name
Czechia,2004,100,NA,27.857034,46.173946160982595,46.586780714068524,annual_aver_wage
Czechia,2005,102.93899558725455,NA,28.675751,47.35978937956254,47.734663394461265,annual_aver_wage
Czechia,2006,107.06566607198742,NA,29.825319,49.2679114446474,49.35897335260756,annual_aver_wage
Czechia,2007,110.26045342802827,NA,30.715292,50.89240638997091,50.66774096809452,annual_aver_wage
Czechia,2008,110.85092906875873,NA,30.879780999999998,50.937072277315,50.721062004383604,annual_aver_wage
Czechia,2009,110.40676476899874,NA,30.75605,50.72296684740996,49.734522953653936,annual_aver_wage
Czechia,2010,113.79848981768842,100,31.700884,51.82620734407232,50.74711541724625,annual_aver_wage
Czechia,2011,114.72858524708697,100.8173179019235,31.959981,51.21727148702033,50.77117133588075,annual_aver_wage
Czechia,2012,114.93858606770556,101.00185534258289,32.018481,50.63545689779602,50.401418526576165,annual_aver_wage
Czechia,2013,114.22012838839915,100.37051332701007,31.81834,49.84958177120951,49.71067115378606,annual_aver_wage
Czechia,2014,116.63176704311019,102.48973183208393,32.490151000000004,50.06284329156318,50.27344550609657,annual_aver_wage
Czechia,2015,120.06257737273825,105.50454365878251,33.445873,50.377917150951824,51.014236168196355,annual_aver_wage
Czechia,2016,124.30226060678248,109.23014954409474,34.626923000000005,51.36791655186483,52.20131729749098,annual_aver_wage
Czechia,2017,130.65212542010036,114.81006964979274,36.395807,53.43077263573597,54.46447203683511,annual_aver_wage
Czechia,2018,137.57317810647035,120.8919189761396,38.323807,55.48513433503105,57.042157787057924,annual_aver_wage
Czechia,2019,143.28652504785686,125.91250136746974,39.915375999999995,56.83908595522477,58.766754117049935,annual_aver_wage
Czechia,2020,141.22659648546934,124.10234679890945,39.341541,56.40298639104014,58.82588843056491,annual_aver_wage
Czechia,2021,144.07790506340336,126.60792361500076,40.135830999999996,57.47770950019486,59.1310581064425,annual_aver_wage
Czechia,2022,135.0380015331137,118.66414198417938,37.617582,55.13707897342055,56.3966420291569,annual_aver_wage
Czechia,2023,132.63797215453732,116.55512508736349,36.949005,54.253613237439325,55.79154628038976,annual_aver_wage
Czechia,2024,138.16440759630046,121.41145969304831,38.488506,55.43253443150757,57.30463307674296,annual_aver_wage
Estonia,2004,100,NA,21.019374,34.84030078053382,35.151802854711434,annual_aver_wage
Estonia,2005,106.66405669360086,NA,22.420116999999998,37.0282200799257,37.32131508114429,annual_aver_wage
Estonia,2006,116.45553288123614,NA,24.478223999999997,40.43514077265168,40.50987706569572,annual_aver_wage
Estonia,2007,135.36343185101515,NA,28.452545999999998,47.14324493028883,46.935130247526004,annual_aver_wage
Estonia,2008,137.1365341327482,NA,28.825241000000002,47.54805042911489,47.346412076312994,annual_aver_wage
Estonia,2009,133.82592649999947,NA,28.129372,46.391041872882305,45.48701466559815,annual_aver_wage
Estonia,2010,132.3500119461217,100,27.819144,45.480142606704774,44.53318435463798,annual_aver_wage
Estonia,2011,129.2892975785102,97.68740907340643,27.175801,43.55041317747462,43.17109102038576,annual_aver_wage
Estonia,2012,131.24500758205264,99.16508933560284,27.586879,43.62712342753593,43.4254777520837,annual_aver_wage
Estonia,2013,134.4666163702116,101.59924762602328,28.264041000000002,44.281085154483804,44.157691684359605,annual_aver_wage
Estonia,2014,141.87658490685783,107.19801443207598,29.82157,45.95092788637338,46.144232272150546,annual_aver_wage
