date,measure,tax,scope,netto_koncepcio,value,period,incl_kozfoglalk,metric
2024-01-01,atlag,Bruttó,nemzetgazdasag,NA,605100,monthly,TRUE,Átlag (teljes)
2024-01-01,atlag,Nettó,nemzetgazdasag,kedvezmennyel,416600,monthly,TRUE,Átlag (kedvezménnyel)
2024-01-01,atlag,Nettó,nemzetgazdasag,kedvezmeny_nelkul,402400,monthly,TRUE,Átlag (kedvezmény nélkül)
2024-01-01,median,Bruttó,nemzetgazdasag,NA,493700,monthly,TRUE,Medián
2024-01-01,median,Nettó,nemzetgazdasag,kedvezmennyel,341700,monthly,TRUE,Medián
2024-01-01,rendsz,Bruttó,nemzetgazdasag,NA,578300,monthly,TRUE,Átlag (rendszeres)
2024-02-01,atlag,Bruttó,nemzetgazdasag,NA,605400,monthly,TRUE,Átlag (teljes)
2024-02-01,atlag,Nettó,nemzetgazdasag,kedvezmennyel,417100,monthly,TRUE,Átlag (kedvezménnyel)
2024-02-01,atlag,Nettó,nemzetgazdasag,kedvezmeny_nelkul,402600,monthly,TRUE,Átlag (kedvezmény nélkül)
2024-02-01,median,Bruttó,nemzetgazdasag,NA,491900,monthly,TRUE,Medián
2024-02-01,median,Nettó,nemzetgazdasag,kedvezmennyel,340700,monthly,TRUE,Medián
2024-02-01,rendsz,Bruttó,nemzetgazdasag,NA,578000,monthly,TRUE,Átlag (rendszeres)
2024-03-01,atlag,Bruttó,nemzetgazdasag,NA,658400,monthly,TRUE,Átlag (teljes)
2024-03-01,atlag,Nettó,nemzetgazdasag,kedvezmennyel,452700,monthly,TRUE,Átlag (kedvezménnyel)
2024-03-01,atlag,Nettó,nemzetgazdasag,kedvezmeny_nelkul,437800,monthly,TRUE,Átlag (kedvezmény nélkül)
2024-03-01,median,Bruttó,nemzetgazdasag,NA,510000,monthly,TRUE,Medián
2024-03-01,median,Nettó,nemzetgazdasag,kedvezmennyel,354500,monthly,TRUE,Medián
2024-03-01,rendsz,Bruttó,nemzetgazdasag,NA,598400,monthly,TRUE,Átlag (rendszeres)
2024-04-01,atlag,Bruttó,nemzetgazdasag,NA,645300,monthly,TRUE,Átlag (teljes)
2024-04-01,atlag,Nettó,nemzetgazdasag,kedvezmennyel,444000,monthly,TRUE,Átlag (kedvezménnyel)
2024-04-01,atlag,Nettó,nemzetgazdasag,kedvezmeny_nelkul,429100,monthly,TRUE,Átlag (kedvezmény nélkül)
2024-04-01,median,Bruttó,nemzetgazdasag,NA,516000,monthly,TRUE,Medián
2024-04-01,median,Nettó,nemzetgazdasag,kedvezmennyel,357900,monthly,TRUE,Medián
2024-04-01,rendsz,Bruttó,nemzetgazdasag,NA,596200,monthly,TRUE,Átlag (rendszeres)
2024-05-01,atlag,Bruttó,nemzetgazdasag,NA,652000,monthly,TRUE,Átlag (teljes)
2024-05-01,atlag,Nettó,nemzetgazdasag,kedvezmennyel,448700,monthly,TRUE,Átlag (kedvezménnyel)
2024-05-01,atlag,Nettó,nemzetgazdasag,kedvezmeny_nelkul,433600,monthly,TRUE,Átlag (kedvezmény nélkül)
2024-05-01,median,Bruttó,nemzetgazdasag,NA,525100,monthly,TRUE,Medián
2024-05-01,median,Nettó,nemzetgazdasag,kedvezmennyel,363900,monthly,TRUE,Medián
2024-05-01,rendsz,Bruttó,nemzetgazdasag,NA,607800,monthly,TRUE,Átlag (rendszeres)
2024-06-01,atlag,Bruttó,nemzetgazdasag,NA,642000,monthly,TRUE,Átlag (teljes)
2024-06-01,atlag,Nettó,nemzetgazdasag,kedvezmennyel,442000,monthly,TRUE,Átlag (kedvezménnyel)
2024-06-01,atlag,Nettó,nemzetgazdasag,kedvezmeny_nelkul,427000,monthly,TRUE,Átlag (kedvezmény nélkül)
2024-06-01,median,Bruttó,nemzetgazdasag,NA,518800,monthly,TRUE,Medián
2024-06-01,median,Nettó,nemzetgazdasag,kedvezmennyel,359200,monthly,TRUE,Medián
2024-06-01,rendsz,Bruttó,nemzetgazdasag,NA,598200,monthly,TRUE,Átlag (rendszeres)
2024-07-01,atlag,Bruttó,nemzetgazdasag,NA,636700,monthly,TRUE,Átlag (teljes)
2024-07-01,atlag,Nettó,nemzetgazdasag,kedvezmennyel,438400,monthly,TRUE,Átlag (kedvezménnyel)
2024-07-01,atlag,Nettó,nemzetgazdasag,kedvezmeny_nelkul,423400,monthly,TRUE,Átlag (kedvezmény nélkül)
2024-07-01,median,Bruttó,nemzetgazdasag,NA,524100,monthly,TRUE,Medián
2024-07-01,median,Nettó,nemzetgazdasag,kedvezmennyel,362900,monthly,TRUE,Medián
2024-07-01,rendsz,Bruttó,nemzetgazdasag,NA,602200,monthly,TRUE,Átlag (rendszeres)
2024-08-01,atlag,Bruttó,nemzetgazdasag,NA,628800,monthly,TRUE,Átlag (teljes)
2024-08-01,atlag,Nettó,nemzetgazdasag,kedvezmennyel,433100,monthly,TRUE,Átlag (kedvezménnyel)
2024-08-01,atlag,Nettó,nemzetgazdasag,kedvezmeny_nelkul,418100,monthly,TRUE,Átlag (kedvezmény nélkül)
2024-08-01,median,Bruttó,nemzetgazdasag,NA,520000,monthly,TRUE,Medián
2024-08-01,median,Nettó,nemzetgazdasag,kedvezmennyel,360100,monthly,TRUE,Medián
2024-08-01,rendsz,Bruttó,nemzetgazdasag,NA,601300,monthly,TRUE,Átlag (rendszeres)
2024-09-01,atlag,Bruttó,nemzetgazdasag,NA,627400,monthly,TRUE,Átlag (teljes)
2024-09-01,atlag,Nettó,nemzetgazdasag,kedvezmennyel,432200,monthly,TRUE,Átlag (kedvezménnyel)
2024-09-01,atlag,Nettó,nemzetgazdasag,kedvezmeny_nelkul,417200,monthly,TRUE,Átlag (kedvezmény nélkül)
2024-09-01,median,Bruttó,nemzetgazdasag,NA,519500,monthly,TRUE,Medián
2024-09-01,median,Nettó,nemzetgazdasag,kedvezmennyel,359100,monthly,TRUE,Medián
2024-09-01,rendsz,Bruttó,nemzetgazdasag,NA,605100,monthly,TRUE,Átlag (rendszeres)
2024-10-01,atlag,Bruttó,nemzetgazdasag,NA,637200,monthly,TRUE,Átlag (teljes)
2024-10-01,atlag,Nettó,nemzetgazdasag,kedvezmennyel,438900,monthly,TRUE,Átlag (kedvezménnyel)
2024-10-01,atlag,Nettó,nemzetgazdasag,kedvezmeny_nelkul,423800,monthly,TRUE,Átlag (kedvezmény nélkül)
2024-10-01,median,Bruttó,nemzetgazdasag,NA,529000,monthly,TRUE,Medián
2024-10-01,median,Nettó,nemzetgazdasag,kedvezmennyel,366000,monthly,TRUE,Medián
2024-10-01,rendsz,Bruttó,nemzetgazdasag,NA,613100,monthly,TRUE,Átlag (rendszeres)
2024-11-01,atlag,Bruttó,nemzetgazdasag,NA,695100,monthly,TRUE,Átlag (teljes)
2024-11-01,atlag,Nettó,nemzetgazdasag,kedvezmennyel,478000,monthly,TRUE,Átlag (kedvezménnyel)
2024-11-01,atlag,Nettó,nemzetgazdasag,kedvezmeny_nelkul,462200,monthly,TRUE,Átlag (kedvezmény nélkül)
2024-11-01,median,Bruttó,nemzetgazdasag,NA,550800,monthly,TRUE,Medián
2024-11-01,median,Nettó,nemzetgazdasag,kedvezmennyel,383400,monthly,TRUE,Medián
2024-11-01,rendsz,Bruttó,nemzetgazdasag,NA,613700,monthly,TRUE,Átlag (rendszeres)
2024-12-01,atlag,Bruttó,nemzetgazdasag,NA,727700,monthly,TRUE,Átlag (teljes)
2024-12-01,atlag,Nettó,nemzetgazdasag,kedvezmennyel,500500,monthly,TRUE,Átlag (kedvezménnyel)
2024-12-01,atlag,Nettó,nemzetgazdasag,kedvezmeny_nelkul,483900,monthly,TRUE,Átlag (kedvezmény nélkül)
2024-12-01,median,Bruttó,nemzetgazdasag,NA,560900,monthly,TRUE,Medián
2024-12-01,median,Nettó,nemzetgazdasag,kedvezmennyel,389800,monthly,TRUE,Medián
2024-12-01,rendsz,Bruttó,nemzetgazdasag,NA,625400,monthly,TRUE,Átlag (rendszeres)
2025-01-01,atlag,Bruttó,nemzetgazdasag,NA,668100,monthly,TRUE,Átlag (teljes)
2025-01-01,atlag,Nettó,nemzetgazdasag,kedvezmennyel,459000,monthly,TRUE,Átlag (kedvezménnyel)
2025-01-01,atlag,Nettó,nemzetgazdasag,kedvezmeny_nelkul,444300,monthly,TRUE,Átlag (kedvezmény nélkül)
2025-01-01,median,Bruttó,nemzetgazdasag,NA,539500,monthly,TRUE,Medián
2025-01-01,median,Nettó,nemzetgazdasag,kedvezmennyel,373600,monthly,TRUE,Medián
2025-01-01,rendsz,Bruttó,nemzetgazdasag,NA,639800,monthly,TRUE,Átlag (rendszeres)
2025-02-01,atlag,Bruttó,nemzetgazdasag,NA,661400,monthly,TRUE,Átlag (teljes)
