date,measure,tax,scope,netto_koncepcio,value,period,incl_kozfoglalk,agazat,sorozat
2023-01-01,atlag,brutto,adminisztrativ_szolgaltatasok,NA,455000,monthly,FALSE,Adminisztratív szolgáltatás,saját ág
2023-01-01,atlag,brutto,banyaszat,NA,554400,monthly,FALSE,Bányászat,saját ág
2023-01-01,atlag,brutto,egeszsegugyi_szocialis_ellatas,NA,582600,monthly,FALSE,"Egészségügy, szociális ellátás",saját ág
2023-01-01,atlag,brutto,egyeb_szolgaltatas,NA,412800,monthly,FALSE,Egyéb szolgáltatás,saját ág
2023-01-01,atlag,brutto,energiaipar,NA,711400,monthly,FALSE,Energiaipar,saját ág
2023-01-01,atlag,brutto,epitoipar,NA,407100,monthly,FALSE,Építőipar,saját ág
2023-01-01,atlag,brutto,feldolgozoipar,NA,561300,monthly,FALSE,Feldolgozóipar,saját ág
2023-01-01,atlag,brutto,ingatlanugyletek,NA,443600,monthly,FALSE,Ingatlanügyletek,saját ág
2023-01-01,atlag,brutto,kereskedelem,NA,481400,monthly,FALSE,Kereskedelem,saját ág
2023-01-01,atlag,brutto,kozigazgatas,NA,579600,monthly,FALSE,Közigazgatás,saját ág
2023-01-01,atlag,brutto,mezogazdasag,NA,398900,monthly,FALSE,Mezőgazdaság,saját ág
2023-01-01,atlag,brutto,muveszet_szabadido,NA,502800,monthly,FALSE,"Művészet, sport, szabadidő",saját ág
2023-01-01,atlag,brutto,oktatas,NA,490000,monthly,FALSE,Oktatás,saját ág
2023-01-01,atlag,brutto,penzugyi_szolgaltatas,NA,870600,monthly,FALSE,Pénzügyi szolgáltatás,saját ág
2023-01-01,atlag,brutto,szallashely_szolgaltatas_vendeglatas,NA,350700,monthly,FALSE,"Szálláshely-szolgáltatás, vendéglátás",saját ág
2023-01-01,atlag,brutto,szallitas_raktarozas,NA,479100,monthly,FALSE,"Szállítás, raktározás",saját ág
2023-01-01,atlag,brutto,tudomanyos_muszaki_tevekenyseg,NA,685200,monthly,FALSE,Tudományos és műszaki tevékenység,saját ág
2023-01-01,atlag,brutto,viz_es_hulladekgazdalkodas,NA,447100,monthly,FALSE,Víz- és hulladékgazdálkodás,saját ág
2023-02-01,atlag,brutto,adminisztrativ_szolgaltatasok,NA,447000,monthly,FALSE,Adminisztratív szolgáltatás,saját ág
2023-02-01,atlag,brutto,banyaszat,NA,589600,monthly,FALSE,Bányászat,saját ág
2023-02-01,atlag,brutto,egeszsegugyi_szocialis_ellatas,NA,580800,monthly,FALSE,"Egészségügy, szociális ellátás",saját ág
2023-02-01,atlag,brutto,egyeb_szolgaltatas,NA,412500,monthly,FALSE,Egyéb szolgáltatás,saját ág
2023-02-01,atlag,brutto,energiaipar,NA,758800,monthly,FALSE,Energiaipar,saját ág
2023-02-01,atlag,brutto,epitoipar,NA,408500,monthly,FALSE,Építőipar,saját ág
2023-02-01,atlag,brutto,feldolgozoipar,NA,557600,monthly,FALSE,Feldolgozóipar,saját ág
2023-02-01,atlag,brutto,ingatlanugyletek,NA,451500,monthly,FALSE,Ingatlanügyletek,saját ág
2023-02-01,atlag,brutto,kereskedelem,NA,494700,monthly,FALSE,Kereskedelem,saját ág
2023-02-01,atlag,brutto,kozigazgatas,NA,586300,monthly,FALSE,Közigazgatás,saját ág
2023-02-01,atlag,brutto,mezogazdasag,NA,394800,monthly,FALSE,Mezőgazdaság,saját ág
2023-02-01,atlag,brutto,muveszet_szabadido,NA,503300,monthly,FALSE,"Művészet, sport, szabadidő",saját ág
2023-02-01,atlag,brutto,oktatas,NA,489700,monthly,FALSE,Oktatás,saját ág
2023-02-01,atlag,brutto,penzugyi_szolgaltatas,NA,813800,monthly,FALSE,Pénzügyi szolgáltatás,saját ág
2023-02-01,atlag,brutto,szallashely_szolgaltatas_vendeglatas,NA,348300,monthly,FALSE,"Szálláshely-szolgáltatás, vendéglátás",saját ág
2023-02-01,atlag,brutto,szallitas_raktarozas,NA,500000,monthly,FALSE,"Szállítás, raktározás",saját ág
2023-02-01,atlag,brutto,tudomanyos_muszaki_tevekenyseg,NA,679000,monthly,FALSE,Tudományos és műszaki tevékenység,saját ág
2023-02-01,atlag,brutto,viz_es_hulladekgazdalkodas,NA,463400,monthly,FALSE,Víz- és hulladékgazdálkodás,saját ág
2023-03-01,atlag,brutto,adminisztrativ_szolgaltatasok,NA,495000,monthly,FALSE,Adminisztratív szolgáltatás,saját ág
2023-03-01,atlag,brutto,banyaszat,NA,643700,monthly,FALSE,Bányászat,saját ág
2023-03-01,atlag,brutto,egeszsegugyi_szocialis_ellatas,NA,586600,monthly,FALSE,"Egészségügy, szociális ellátás",saját ág
2023-03-01,atlag,brutto,egyeb_szolgaltatas,NA,421300,monthly,FALSE,Egyéb szolgáltatás,saját ág
2023-03-01,atlag,brutto,energiaipar,NA,947500,monthly,FALSE,Energiaipar,saját ág
2023-03-01,atlag,brutto,epitoipar,NA,426100,monthly,FALSE,Építőipar,saját ág
2023-03-01,atlag,brutto,feldolgozoipar,NA,646900,monthly,FALSE,Feldolgozóipar,saját ág
2023-03-01,atlag,brutto,ingatlanugyletek,NA,467100,monthly,FALSE,Ingatlanügyletek,saját ág
2023-03-01,atlag,brutto,kereskedelem,NA,522100,monthly,FALSE,Kereskedelem,saját ág
2023-03-01,atlag,brutto,kozigazgatas,NA,630000,monthly,FALSE,Közigazgatás,saját ág
2023-03-01,atlag,brutto,mezogazdasag,NA,423600,monthly,FALSE,Mezőgazdaság,saját ág
2023-03-01,atlag,brutto,muveszet_szabadido,NA,508700,monthly,FALSE,"Művészet, sport, szabadidő",saját ág
2023-03-01,atlag,brutto,oktatas,NA,503500,monthly,FALSE,Oktatás,saját ág
2023-03-01,atlag,brutto,penzugyi_szolgaltatas,NA,1032500,monthly,FALSE,Pénzügyi szolgáltatás,saját ág
2023-03-01,atlag,brutto,szallashely_szolgaltatas_vendeglatas,NA,361500,monthly,FALSE,"Szálláshely-szolgáltatás, vendéglátás",saját ág
2023-03-01,atlag,brutto,szallitas_raktarozas,NA,506800,monthly,FALSE,"Szállítás, raktározás",saját ág
2023-03-01,atlag,brutto,tudomanyos_muszaki_tevekenyseg,NA,797900,monthly,FALSE,Tudományos és műszaki tevékenység,saját ág
2023-03-01,atlag,brutto,viz_es_hulladekgazdalkodas,NA,496900,monthly,FALSE,Víz- és hulladékgazdálkodás,saját ág
2023-04-01,atlag,brutto,adminisztrativ_szolgaltatasok,NA,471700,monthly,FALSE,Adminisztratív szolgáltatás,saját ág
2023-04-01,atlag,brutto,banyaszat,NA,645700,monthly,FALSE,Bányászat,saját ág
2023-04-01,atlag,brutto,egeszsegugyi_szocialis_ellatas,NA,592700,monthly,FALSE,"Egészségügy, szociális ellátás",saját ág
2023-04-01,atlag,brutto,egyeb_szolgaltatas,NA,423400,monthly,FALSE,Egyéb szolgáltatás,saját ág
2023-04-01,atlag,brutto,energiaipar,NA,873600,monthly,FALSE,Energiaipar,saját ág
2023-04-01,atlag,brutto,epitoipar,NA,422700,monthly,FALSE,Építőipar,saját ág
2023-04-01,atlag,brutto,feldolgozoipar,NA,613800,monthly,FALSE,Feldolgozóipar,saját ág
2023-04-01,atlag,brutto,ingatlanugyletek,NA,483300,monthly,FALSE,Ingatlanügyletek,saját ág
2023-04-01,atlag,brutto,kereskedelem,NA,505900,monthly,FALSE,Kereskedelem,saját ág
2023-04-01,atlag,brutto,kozigazgatas,NA,632800,monthly,FALSE,Közigazgatás,saját ág
2023-04-01,atlag,brutto,mezogazdasag,NA,428600,monthly,FALSE,Mezőgazdaság,saját ág
2023-04-01,atlag,brutto,muveszet_szabadido,NA,527800,monthly,FALSE,"Művészet, sport, szabadidő",saját ág
2023-04-01,atlag,brutto,oktatas,NA,502800,monthly,FALSE,Oktatás,saját ág
2023-04-01,atlag,brutto,penzugyi_szolgaltatas,NA,1057300,monthly,FALSE,Pénzügyi szolgáltatás,saját ág
2023-04-01,atlag,brutto,szallashely_szolgaltatas_vendeglatas,NA,366600,monthly,FALSE,"Szálláshely-szolgáltatás, vendéglátás",saját ág
2023-04-01,atlag,brutto,szallitas_raktarozas,NA,544400,monthly,FALSE,"Szállítás, raktározás",saját ág
2023-04-01,atlag,brutto,tudomanyos_muszaki_tevekenyseg,NA,745200,monthly,FALSE,Tudományos és műszaki tevékenység,saját ág
2023-04-01,atlag,brutto,viz_es_hulladekgazdalkodas,NA,511000,monthly,FALSE,Víz- és hulladékgazdálkodás,saját ág
2023-05-01,atlag,brutto,adminisztrativ_szolgaltatasok,NA,482100,monthly,FALSE,Adminisztratív szolgáltatás,saját ág
2023-05-01,atlag,brutto,banyaszat,NA,714600,monthly,FALSE,Bányászat,saját ág
2023-05-01,atlag,brutto,egeszsegugyi_szocialis_ellatas,NA,597400,monthly,FALSE,"Egészségügy, szociális ellátás",saját ág
2023-05-01,atlag,brutto,egyeb_szolgaltatas,NA,433700,monthly,FALSE,Egyéb szolgáltatás,saját ág
2023-05-01,atlag,brutto,energiaipar,NA,1229100,monthly,FALSE,Energiaipar,saját ág
2023-05-01,atlag,brutto,epitoipar,NA,441600,monthly,FALSE,Építőipar,saját ág
2023-05-01,atlag,brutto,feldolgozoipar,NA,610800,monthly,FALSE,Feldolgozóipar,saját ág
2023-05-01,atlag,brutto,ingatlanugyletek,NA,489500,monthly,FALSE,Ingatlanügyletek,saját ág
2023-05-01,atlag,brutto,kereskedelem,NA,501000,monthly,FALSE,Kereskedelem,saját ág
2023-05-01,atlag,brutto,kozigazgatas,NA,610400,monthly,FALSE,Közigazgatás,saját ág
2023-05-01,atlag,brutto,mezogazdasag,NA,446900,monthly,FALSE,Mezőgazdaság,saját ág
2023-05-01,atlag,brutto,muveszet_szabadido,NA,531200,monthly,FALSE,"Művészet, sport, szabadidő",saját ág
2023-05-01,atlag,brutto,oktatas,NA,513800,monthly,FALSE,Oktatás,saját ág
2023-05-01,atlag,brutto,penzugyi_szolgaltatas,NA,1040500,monthly,FALSE,Pénzügyi szolgáltatás,saját ág
2023-05-01,atlag,brutto,szallashely_szolgaltatas_vendeglatas,NA,372200,monthly,FALSE,"Szálláshely-szolgáltatás, vendéglátás",saját ág
2023-05-01,atlag,brutto,szallitas_raktarozas,NA,531400,monthly,FALSE,"Szállítás, raktározás",saját ág
2023-05-01,atlag,brutto,tudomanyos_muszaki_tevekenyseg,NA,718900,monthly,FALSE,Tudományos és műszaki tevékenység,saját ág
2023-05-01,atlag,brutto,viz_es_hulladekgazdalkodas,NA,526300,monthly,FALSE,Víz- és hulladékgazdálkodás,saját ág
2023-06-01,atlag,brutto,adminisztrativ_szolgaltatasok,NA,474500,monthly,FALSE,Adminisztratív szolgáltatás,saját ág
2023-06-01,atlag,brutto,banyaszat,NA,671400,monthly,FALSE,Bányászat,saját ág
2023-06-01,atlag,brutto,egeszsegugyi_szocialis_ellatas,NA,603600,monthly,FALSE,"Egészségügy, szociális ellátás",saját ág
2023-06-01,atlag,brutto,egyeb_szolgaltatas,NA,435600,monthly,FALSE,Egyéb szolgáltatás,saját ág
2023-06-01,atlag,brutto,energiaipar,NA,772700,monthly,FALSE,Energiaipar,saját ág
2023-06-01,atlag,brutto,epitoipar,NA,451300,monthly,FALSE,Építőipar,saját ág
2023-06-01,atlag,brutto,feldolgozoipar,NA,616300,monthly,FALSE,Feldolgozóipar,saját ág
2023-06-01,atlag,brutto,ingatlanugyletek,NA,487600,monthly,FALSE,Ingatlanügyletek,saját ág
2023-06-01,atlag,brutto,kereskedelem,NA,502500,monthly,FALSE,Kereskedelem,saját ág
2023-06-01,atlag,brutto,kozigazgatas,NA,638100,monthly,FALSE,Közigazgatás,saját ág
2023-06-01,atlag,brutto,mezogazdasag,NA,441500,monthly,FALSE,Mezőgazdaság,saját ág
2023-06-01,atlag,brutto,muveszet_szabadido,NA,544900,monthly,FALSE,"Művészet, sport, szabadidő",saját ág
2023-06-01,atlag,brutto,oktatas,NA,528900,monthly,FALSE,Oktatás,saját ág
2023-06-01,atlag,brutto,penzugyi_szolgaltatas,NA,949000,monthly,FALSE,Pénzügyi szolgáltatás,saját ág
2023-06-01,atlag,brutto,szallashely_szolgaltatas_vendeglatas,NA,360600,monthly,FALSE,"Szálláshely-szolgáltatás, vendéglátás",saját ág
2023-06-01,atlag,brutto,szallitas_raktarozas,NA,519300,monthly,FALSE,"Szállítás, raktározás",saját ág
2023-06-01,atlag,brutto,tudomanyos_muszaki_tevekenyseg,NA,724000,monthly,FALSE,Tudományos és műszaki tevékenység,saját ág
2023-06-01,atlag,brutto,viz_es_hulladekgazdalkodas,NA,528400,monthly,FALSE,Víz- és hulladékgazdálkodás,saját ág
2023-07-01,atlag,brutto,adminisztrativ_szolgaltatasok,NA,471700,monthly,FALSE,Adminisztratív szolgáltatás,saját ág
2023-07-01,atlag,brutto,banyaszat,NA,645100,monthly,FALSE,Bányászat,saját ág
2023-07-01,atlag,brutto,egeszsegugyi_szocialis_ellatas,NA,624800,monthly,FALSE,"Egészségügy, szociális ellátás",saját ág
2023-07-01,atlag,brutto,egyeb_szolgaltatas,NA,433000,monthly,FALSE,Egyéb szolgáltatás,saját ág
2023-07-01,atlag,brutto,energiaipar,NA,800500,monthly,FALSE,Energiaipar,saját ág
2023-07-01,atlag,brutto,epitoipar,NA,438000,monthly,FALSE,Építőipar,saját ág
2023-07-01,atlag,brutto,feldolgozoipar,NA,593500,monthly,FALSE,Feldolgozóipar,saját ág
2023-07-01,atlag,brutto,ingatlanugyletek,NA,481500,monthly,FALSE,Ingatlanügyletek,saját ág
2023-07-01,atlag,brutto,kereskedelem,NA,501600,monthly,FALSE,Kereskedelem,saját ág
2023-07-01,atlag,brutto,kozigazgatas,NA,628500,monthly,FALSE,Közigazgatás,saját ág
2023-07-01,atlag,brutto,mezogazdasag,NA,452000,monthly,FALSE,Mezőgazdaság,saját ág
2023-07-01,atlag,brutto,muveszet_szabadido,NA,538900,monthly,FALSE,"Művészet, sport, szabadidő",saját ág
2023-07-01,atlag,brutto,oktatas,NA,525000,monthly,FALSE,Oktatás,saját ág
2023-07-01,atlag,brutto,penzugyi_szolgaltatas,NA,925500,monthly,FALSE,Pénzügyi szolgáltatás,saját ág
2023-07-01,atlag,brutto,szallashely_szolgaltatas_vendeglatas,NA,358000,monthly,FALSE,"Szálláshely-szolgáltatás, vendéglátás",saját ág
2023-07-01,atlag,brutto,szallitas_raktarozas,NA,515000,monthly,FALSE,"Szállítás, raktározás",saját ág
2023-07-01,atlag,brutto,tudomanyos_muszaki_tevekenyseg,NA,704500,monthly,FALSE,Tudományos és műszaki tevékenység,saját ág
2023-07-01,atlag,brutto,viz_es_hulladekgazdalkodas,NA,500200,monthly,FALSE,Víz- és hulladékgazdálkodás,saját ág
2023-08-01,atlag,brutto,adminisztrativ_szolgaltatasok,NA,473100,monthly,FALSE,Adminisztratív szolgáltatás,saját ág
2023-08-01,atlag,brutto,banyaszat,NA,699700,monthly,FALSE,Bányászat,saját ág
2023-08-01,atlag,brutto,egeszsegugyi_szocialis_ellatas,NA,630900,monthly,FALSE,"Egészségügy, szociális ellátás",saját ág
2023-08-01,atlag,brutto,egyeb_szolgaltatas,NA,433000,monthly,FALSE,Egyéb szolgáltatás,saját ág
2023-08-01,atlag,brutto,energiaipar,NA,871500,monthly,FALSE,Energiaipar,saját ág
2023-08-01,atlag,brutto,epitoipar,NA,434500,monthly,FALSE,Építőipar,saját ág
2023-08-01,atlag,brutto,feldolgozoipar,NA,589800,monthly,FALSE,Feldolgozóipar,saját ág
2023-08-01,atlag,brutto,ingatlanugyletek,NA,478700,monthly,FALSE,Ingatlanügyletek,saját ág
2023-08-01,atlag,brutto,kereskedelem,NA,491700,monthly,FALSE,Kereskedelem,saját ág
2023-08-01,atlag,brutto,kozigazgatas,NA,636100,monthly,FALSE,Közigazgatás,saját ág
2023-08-01,atlag,brutto,mezogazdasag,NA,435600,monthly,FALSE,Mezőgazdaság,saját ág
2023-08-01,atlag,brutto,muveszet_szabadido,NA,525500,monthly,FALSE,"Művészet, sport, szabadidő",saját ág
2023-08-01,atlag,brutto,oktatas,NA,512500,monthly,FALSE,Oktatás,saját ág
2023-08-01,atlag,brutto,penzugyi_szolgaltatas,NA,882700,monthly,FALSE,Pénzügyi szolgáltatás,saját ág
2023-08-01,atlag,brutto,szallashely_szolgaltatas_vendeglatas,NA,362100,monthly,FALSE,"Szálláshely-szolgáltatás, vendéglátás",saját ág
2023-08-01,atlag,brutto,szallitas_raktarozas,NA,511100,monthly,FALSE,"Szállítás, raktározás",saját ág
2023-08-01,atlag,brutto,tudomanyos_muszaki_tevekenyseg,NA,702400,monthly,FALSE,Tudományos és műszaki tevékenység,saját ág
2023-08-01,atlag,brutto,viz_es_hulladekgazdalkodas,NA,510900,monthly,FALSE,Víz- és hulladékgazdálkodás,saját ág
2023-09-01,atlag,brutto,adminisztrativ_szolgaltatasok,NA,470100,monthly,FALSE,Adminisztratív szolgáltatás,saját ág
2023-09-01,atlag,brutto,banyaszat,NA,653800,monthly,FALSE,Bányászat,saját ág
2023-09-01,atlag,brutto,egeszsegugyi_szocialis_ellatas,NA,628700,monthly,FALSE,"Egészségügy, szociális ellátás",saját ág
2023-09-01,atlag,brutto,egyeb_szolgaltatas,NA,439600,monthly,FALSE,Egyéb szolgáltatás,saját ág
2023-09-01,atlag,brutto,energiaipar,NA,749800,monthly,FALSE,Energiaipar,saját ág
2023-09-01,atlag,brutto,epitoipar,NA,441900,monthly,FALSE,Építőipar,saját ág
2023-09-01,atlag,brutto,feldolgozoipar,NA,591800,monthly,FALSE,Feldolgozóipar,saját ág
2023-09-01,atlag,brutto,ingatlanugyletek,NA,480800,monthly,FALSE,Ingatlanügyletek,saját ág
2023-09-01,atlag,brutto,kereskedelem,NA,495800,monthly,FALSE,Kereskedelem,saját ág
2023-09-01,atlag,brutto,kozigazgatas,NA,655000,monthly,FALSE,Közigazgatás,saját ág
2023-09-01,atlag,brutto,mezogazdasag,NA,440200,monthly,FALSE,Mezőgazdaság,saját ág
2023-09-01,atlag,brutto,muveszet_szabadido,NA,535100,monthly,FALSE,"Művészet, sport, szabadidő",saját ág
2023-09-01,atlag,brutto,oktatas,NA,509500,monthly,FALSE,Oktatás,saját ág
2023-09-01,atlag,brutto,penzugyi_szolgaltatas,NA,888000,monthly,FALSE,Pénzügyi szolgáltatás,saját ág
2023-09-01,atlag,brutto,szallashely_szolgaltatas_vendeglatas,NA,361100,monthly,FALSE,"Szálláshely-szolgáltatás, vendéglátás",saját ág
2023-09-01,atlag,brutto,szallitas_raktarozas,NA,505500,monthly,FALSE,"Szállítás, raktározás",saját ág
2023-09-01,atlag,brutto,tudomanyos_muszaki_tevekenyseg,NA,714400,monthly,FALSE,Tudományos és műszaki tevékenység,saját ág
2023-09-01,atlag,brutto,viz_es_hulladekgazdalkodas,NA,500500,monthly,FALSE,Víz- és hulladékgazdálkodás,saját ág
2023-10-01,atlag,brutto,adminisztrativ_szolgaltatasok,NA,478900,monthly,FALSE,Adminisztratív szolgáltatás,saját ág
2023-10-01,atlag,brutto,banyaszat,NA,664200,monthly,FALSE,Bányászat,saját ág
2023-10-01,atlag,brutto,egeszsegugyi_szocialis_ellatas,NA,630300,monthly,FALSE,"Egészségügy, szociális ellátás",saját ág
2023-10-01,atlag,brutto,egyeb_szolgaltatas,NA,432100,monthly,FALSE,Egyéb szolgáltatás,saját ág
