date,type,tax,scope,netto_koncepcio,period,incl_kozfoglalk,adat forrás,source,earnings,shape_key
2025-01-01,1. kvintilis,NA,NA,NA,monthly,NA,adat,havi,295412,Havi (adat)
2025-01-01,2. kvintilis,NA,NA,NA,monthly,NA,adat,havi,407071,Havi (adat)
2025-01-01,3. kvintilis,NA,NA,NA,monthly,NA,adat,havi,541770,Havi (adat)
2025-01-01,4. kvintilis,NA,NA,NA,monthly,NA,adat,havi,721054,Havi (adat)
2025-01-01,5. kvintilis,NA,NA,NA,monthly,NA,adat,havi,1373993,Havi (adat)
2025-02-01,1. kvintilis,NA,NA,NA,monthly,NA,számítás,havi,294490,Havi (becsült)
2025-02-01,2. kvintilis,NA,NA,NA,monthly,NA,számítás,havi,406197,Havi (becsült)
2025-02-01,3. kvintilis,NA,NA,NA,monthly,NA,számítás,havi,540072,Havi (becsült)
2025-02-01,4. kvintilis,NA,NA,NA,monthly,NA,számítás,havi,719066,Havi (becsült)
2025-02-01,5. kvintilis,NA,NA,NA,monthly,NA,számítás,havi,1397373,Havi (becsült)
2025-03-01,1. kvintilis,NA,NA,NA,monthly,NA,számítás,havi,289497,Havi (becsült)
2025-03-01,2. kvintilis,NA,NA,NA,monthly,NA,számítás,havi,406016,Havi (becsült)
2025-03-01,3. kvintilis,NA,NA,NA,monthly,NA,számítás,havi,543795,Havi (becsült)
2025-03-01,4. kvintilis,NA,NA,NA,monthly,NA,számítás,havi,726642,Havi (becsült)
2025-03-01,5. kvintilis,NA,NA,NA,monthly,NA,számítás,havi,1520176,Havi (becsült)
2025-04-01,1. kvintilis,NA,NA,NA,monthly,NA,számítás,havi,297257,Havi (becsült)
2025-04-01,2. kvintilis,NA,NA,NA,monthly,NA,számítás,havi,418244,Havi (becsült)
2025-04-01,3. kvintilis,NA,NA,NA,monthly,NA,számítás,havi,564731,Havi (becsült)
2025-04-01,4. kvintilis,NA,NA,NA,monthly,NA,számítás,havi,757614,Havi (becsült)
2025-04-01,5. kvintilis,NA,NA,NA,monthly,NA,számítás,havi,1498306,Havi (becsült)
2025-05-01,1. kvintilis,NA,NA,NA,monthly,NA,számítás,havi,296149,Havi (becsült)
2025-05-01,2. kvintilis,NA,NA,NA,monthly,NA,számítás,havi,417957,Havi (becsült)
2025-05-01,3. kvintilis,NA,NA,NA,monthly,NA,számítás,havi,564007,Havi (becsült)
2025-05-01,4. kvintilis,NA,NA,NA,monthly,NA,számítás,havi,752269,Havi (becsült)
2025-05-01,5. kvintilis,NA,NA,NA,monthly,NA,számítás,havi,1474787,Havi (becsült)
2025-06-01,1. kvintilis,NA,NA,NA,monthly,NA,számítás,havi,296271,Havi (becsült)
2025-06-01,2. kvintilis,NA,NA,NA,monthly,NA,számítás,havi,419749,Havi (becsült)
2025-06-01,3. kvintilis,NA,NA,NA,monthly,NA,számítás,havi,568401,Havi (becsült)
2025-06-01,4. kvintilis,NA,NA,NA,monthly,NA,számítás,havi,763817,Havi (becsült)
2025-06-01,5. kvintilis,NA,NA,NA,monthly,NA,számítás,havi,1466259,Havi (becsült)
2025-07-01,1. kvintilis,NA,NA,NA,monthly,NA,számítás,havi,296883,Havi (becsült)
2025-07-01,2. kvintilis,NA,NA,NA,monthly,NA,számítás,havi,422066,Havi (becsült)
2025-07-01,3. kvintilis,NA,NA,NA,monthly,NA,számítás,havi,570855,Havi (becsült)
2025-07-01,4. kvintilis,NA,NA,NA,monthly,NA,számítás,havi,757367,Havi (becsült)
2025-07-01,5. kvintilis,NA,NA,NA,monthly,NA,számítás,havi,1416187,Havi (becsült)
2025-08-01,1. kvintilis,NA,NA,NA,monthly,NA,számítás,havi,296225,Havi (becsült)
2025-08-01,2. kvintilis,NA,NA,NA,monthly,NA,számítás,havi,419756,Havi (becsült)
2025-08-01,3. kvintilis,NA,NA,NA,monthly,NA,számítás,havi,565273,Havi (becsült)
2025-08-01,4. kvintilis,NA,NA,NA,monthly,NA,számítás,havi,748059,Havi (becsült)
2025-08-01,5. kvintilis,NA,NA,NA,monthly,NA,számítás,havi,1380991,Havi (becsült)
2025-09-01,1. kvintilis,NA,NA,NA,monthly,NA,számítás,havi,295120,Havi (becsült)
2025-09-01,2. kvintilis,NA,NA,NA,monthly,NA,számítás,havi,420635,Havi (becsült)
2025-09-01,3. kvintilis,NA,NA,NA,monthly,NA,számítás,havi,569288,Havi (becsült)
2025-09-01,4. kvintilis,NA,NA,NA,monthly,NA,számítás,havi,751651,Havi (becsült)
2025-09-01,5. kvintilis,NA,NA,NA,monthly,NA,számítás,havi,1391716,Havi (becsült)
2025-10-01,1. kvintilis,NA,NA,NA,monthly,NA,számítás,havi,295036,Havi (becsült)
2025-10-01,2. kvintilis,NA,NA,NA,monthly,NA,számítás,havi,424519,Havi (becsült)
2025-10-01,3. kvintilis,NA,NA,NA,monthly,NA,számítás,havi,575478,Havi (becsült)
2025-10-01,4. kvintilis,NA,NA,NA,monthly,NA,számítás,havi,761001,Havi (becsült)
2025-10-01,5. kvintilis,NA,NA,NA,monthly,NA,számítás,havi,1402952,Havi (becsült)
2025-11-01,1. kvintilis,NA,NA,NA,monthly,NA,számítás,havi,295520,Havi (becsült)
2025-11-01,2. kvintilis,NA,NA,NA,monthly,NA,számítás,havi,430213,Havi (becsült)
2025-11-01,3. kvintilis,NA,NA,NA,monthly,NA,számítás,havi,595105,Havi (becsült)
2025-11-01,4. kvintilis,NA,NA,NA,monthly,NA,számítás,havi,808675,Havi (becsült)
2025-11-01,5. kvintilis,NA,NA,NA,monthly,NA,számítás,havi,1642792,Havi (becsült)
2025-12-01,1. kvintilis,NA,NA,NA,monthly,NA,számítás,havi,295956,Havi (becsült)
2025-12-01,2. kvintilis,NA,NA,NA,monthly,NA,számítás,havi,436357,Havi (becsült)
2025-12-01,3. kvintilis,NA,NA,NA,monthly,NA,számítás,havi,606593,Havi (becsült)
2025-12-01,4. kvintilis,NA,NA,NA,monthly,NA,számítás,havi,835637,Havi (becsült)
2025-12-01,5. kvintilis,NA,NA,NA,monthly,NA,számítás,havi,1766916,Havi (becsült)
2026-01-01,1. kvintilis,NA,NA,NA,monthly,NA,adat,havi,319248,Havi (adat)
