telepules,szerkezet,szerkezet_tipus,szerep,bp_legal_81
Baja,Bajai településegyüttes,településegyüttes,központ,n/a
Bátmonostor,Bajai településegyüttes,településegyüttes,egyéb,n/a
Vaskút,Bajai településegyüttes,településegyüttes,egyéb,n/a
Alsópáhok,Balatoni agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Alsóörs,Balatoni agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Aszófő,Balatoni agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Badacsonytomaj,Balatoni agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Badacsonytördemic,Balatoni agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Balatonakali,Balatoni agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Balatonalmádi,Balatoni agglomerálódó térség,agglomerálódó térség,központ,n/a
Balatonberény,Balatoni agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Balatonboglár,Balatoni agglomerálódó térség,agglomerálódó térség,központ,n/a
Balatonederics,Balatoni agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Balatonfenyves,Balatoni agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Balatonföldvár,Balatoni agglomerálódó térség,agglomerálódó térség,központ,n/a
Balatonfüred,Balatoni agglomerálódó térség,agglomerálódó térség,központ,n/a
Balatonfőkajár,Balatoni agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Balatonfűzfő,Balatoni agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Balatongyörök,Balatoni agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Balatonkenese,Balatoni agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Balatonkeresztúr,Balatoni agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Balatonlelle,Balatoni agglomerálódó térség,agglomerálódó térség,központ,n/a
Balatonmáriafürdő,Balatoni agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Balatonrendes,Balatoni agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Balatonszabadi,Balatoni agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Balatonszemes,Balatoni agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Balatonszentgyörgy,Balatoni agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Balatonszepezd,Balatoni agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Balatonszárszó,Balatoni agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Balatonudvari,Balatoni agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Balatonvilágos,Balatoni agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Balatonőszöd,Balatoni agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Cserszegtomaj,Balatoni agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Csopak,Balatoni agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Felsőpáhok,Balatoni agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Felsőörs,Balatoni agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Fonyód,Balatoni agglomerálódó térség,agglomerálódó térség,központ,n/a
Gyenesdiás,Balatoni agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Hévíz,Balatoni agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Keszthely,Balatoni agglomerálódó térség,agglomerálódó térség,központ,n/a
Kőröshegy,Balatoni agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Kővágóörs,Balatoni agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Lovas,Balatoni agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Paloznak,Balatoni agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Rezi,Balatoni agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Révfülöp,Balatoni agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Siófok,Balatoni agglomerálódó térség,agglomerálódó térség,központ,n/a
Szigliget,Balatoni agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Szántód,Balatoni agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Tihany,Balatoni agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Vonyarcvashegy,Balatoni agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Zamárdi,Balatoni agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Zánka,Balatoni agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Ábrahámhegy,Balatoni agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Örvényes,Balatoni agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Albertirsa,Budapesti agglomeráció,agglomeráció,egyéb,nem
Alsónémedi,Budapesti agglomeráció,agglomeráció,egyéb,igen
Bag,Budapesti agglomeráció,agglomeráció,egyéb,nem
Biatorbágy,Budapesti agglomeráció,agglomeráció,egyéb,igen
Budajenő,Budapesti agglomeráció,agglomeráció,egyéb,igen
Budakalász,Budapesti agglomeráció,agglomeráció,egyéb,igen
Budakeszi,Budapesti agglomeráció,agglomeráció,egyéb,igen
Budapest,Budapesti agglomeráció,agglomeráció,központ,igen
Budaörs,Budapesti agglomeráció,agglomeráció,egyéb,igen
Bénye,Budapesti agglomeráció,agglomeráció,egyéb,nem
Ceglédbercel,Budapesti agglomeráció,agglomeráció,egyéb,nem
Csobánka,Budapesti agglomeráció,agglomeráció,egyéb,igen
Csomád,Budapesti agglomeráció,agglomeráció,egyéb,igen
Csömör,Budapesti agglomeráció,agglomeráció,egyéb,igen
Csörög,Budapesti agglomeráció,agglomeráció,egyéb,igen
Diósd,Budapesti agglomeráció,agglomeráció,egyéb,igen
Dunabogdány,Budapesti agglomeráció,agglomeráció,egyéb,igen
Dunaharaszti,Budapesti agglomeráció,agglomeráció,egyéb,igen
Dunakeszi,Budapesti agglomeráció,agglomeráció,egyéb,igen
Dunavarsány,Budapesti agglomeráció,agglomeráció,egyéb,igen
Dány,Budapesti agglomeráció,agglomeráció,egyéb,nem
Délegyháza,Budapesti agglomeráció,agglomeráció,egyéb,igen
Dömös,Budapesti agglomeráció,agglomeráció,egyéb,nem
Ecser,Budapesti agglomeráció,agglomeráció,egyéb,igen
Erdőkertes,Budapesti agglomeráció,agglomeráció,egyéb,igen
Felsőpakony,Budapesti agglomeráció,agglomeráció,egyéb,igen
Fót,Budapesti agglomeráció,agglomeráció,egyéb,igen
Galgahévíz,Budapesti agglomeráció,agglomeráció,egyéb,nem
Gomba,Budapesti agglomeráció,agglomeráció,egyéb,nem
