cntr_group,country,Code,era_yrs,varname,cntr_region,era_col,value,value_end,change_val,pop,synth,cntr_rank,trans_rec_end_yr,label_perc_end,era_num,era_low,era_high,scaling,change_val_lab,change_lab,change_sign
CEE,Bulgaria,BGR,1950-1975,% of LAT_AM,CEE: Bulgaria,"early socialism
(1950-1973/75)",-0.3288279200014309,0.22859410651011192,0.5574220265115428,7248464,NA,1,1999,72,1,0.5,1.5,0.01,0.56,BGR: +0.56,convergence
CEE,Bulgaria,BGR,1975-1989,% of LAT_AM,CEE: Bulgaria,"late socialism
(1973/75-1989)",0.22859410651011192,0.14506535438493573,-0.08352875212517619,8723102,NA,1,1999,126,2,1.5,2.5,0.01,-0.08,BGR: -0.08,divergence
CEE,Bulgaria,BGR,1989-1999,% of LAT_AM,CEE: Bulgaria,"transition
(1989-1991/92)",0.14506535438493573,-0.2755940044250397,-0.4206593588099754,8936335,NA,1,1999,116,3,2.5,3.5,0.01,-0.42,BGR: -0.42,divergence
CEE,Bulgaria,BGR,1999-2022,% of LAT_AM,CEE: Bulgaria,"capitalism
(1992-2022)",-0.2755940044250397,0.27890607603387113,0.5545000804589109,8067415,NA,1,1999,76,4,3.5,4.5,0.01,0.55,BGR: +0.55,convergence
Yugosl.,Croatia,HRV,1952-1979,% of LAT_AM,Yugosl.: Croatia,"early socialism
(1950-1973/75)",-0.31009854764370515,0.5074192264486633,0.8175177740923685,3957359,NA,1,1993,73,1,0.5,1.5,0.01,0.82,HRV: +0.82,convergence
Yugosl.,Croatia,HRV,1979-1989,% of LAT_AM,Yugosl.: Croatia,"late socialism
(1973/75-1989)",0.5074192264486633,0.48784730428844386,-0.019571922160219468,4626900,NA,1,1993,166,2,1.5,2.5,0.01,-0.02,HRV: -0.02,divergence
Yugosl.,Croatia,HRV,1989-1993,% of LAT_AM,Yugosl.: Croatia,"transition
(1989-1991/92)",0.48784730428844386,-0.048685539712376345,-0.5365328440008202,4820680,NA,1,1993,163,3,2.5,3.5,0.01,-0.54,HRV: -0.54,divergence
Yugosl.,Croatia,HRV,1993-2022,% of LAT_AM,Yugosl.: Croatia,"capitalism
(1992-2022)",-0.048685539712376345,0.5493274083859987,0.598012948098375,4729691,NA,1,1993,95,4,3.5,4.5,0.01,0.6,HRV: +0.6,convergence
CEE,Czechia,CZE,1950-1975,% of LAT_AM,CEE: Czechia,"early socialism
(1950-1973/75)",0.2587978651016607,0.392822171698234,0.13402430659657333,8916664,TRUE,2,1992,130,1,0.5,1.5,0.01,0.13,CZE: +0.13,convergence
CEE,Czechia,CZE,1975-1989,% of LAT_AM,CEE: Czechia,"late socialism
(1973/75-1989)",0.392822171698234,0.4927068864953571,0.09988471479712308,10030738,NA,2,1992,148,2,1.5,2.5,0.01,0.1,CZE: +0.1,convergence
CEE,Czechia,CZE,1989-1992,% of LAT_AM,CEE: Czechia,"transition
(1989-1991/92)",0.4927068864953571,0.3672158672657388,-0.1254910192296183,10305562,NA,2,1992,164,3,2.5,3.5,0.01,-0.13,CZE: -0.13,divergence
CEE,Czechia,CZE,1992-2022,% of LAT_AM,CEE: Czechia,"capitalism
(1992-2022)",0.3672158672657388,0.7274185942501078,0.360202726984369,10312408,NA,2,1992,144,4,3.5,4.5,0.01,0.36,CZE: +0.36,convergence
Baltics,Estonia,EST,1973-1989,% of LAT_AM,Baltics: Estonia,"late socialism
(1973/75-1989)",0.6672823912181466,0.784462066983892,0.1171796757657454,1399299,NA,1,1994,195,2,1.5,2.5,0.01,0.12,EST: +0.12,convergence
Baltics,Estonia,EST,1989-1994,% of LAT_AM,Baltics: Estonia,"transition
(1989-1991/92)",0.784462066983892,0.23157798563324133,-0.5528840813506506,1567538,NA,1,1994,219,3,2.5,3.5,0.01,-0.55,EST: -0.55,divergence
Baltics,Estonia,EST,1994-2022,% of LAT_AM,Baltics: Estonia,"capitalism
(1992-2022)",0.23157798563324133,0.6574226915184744,0.4258447058852331,1475669,NA,1,1994,126,4,3.5,4.5,0.01,0.43,EST: +0.43,convergence
CEE,Hungary,HUN,1950-1975,% of LAT_AM,CEE: Hungary,"early socialism
(1950-1973/75)",0.07790285085004697,0.22406530860359772,0.14616245775355075,9337826,NA,3,1992,108,1,0.5,1.5,0.01,0.15,HUN: +0.15,convergence
CEE,Hungary,HUN,1975-1989,% of LAT_AM,CEE: Hungary,"late socialism
(1973/75-1989)",0.22406530860359772,0.24989080564559837,0.025825497042000656,10515605,NA,3,1992,125,2,1.5,2.5,0.01,0.03,HUN: +0.03,convergence
CEE,Hungary,HUN,1989-1992,% of LAT_AM,CEE: Hungary,"transition
(1989-1991/92)",0.24989080564559837,0.031138340359483294,-0.21875246528611508,10403359,NA,3,1992,128,3,2.5,3.5,0.01,-0.22,HUN: -0.22,divergence
CEE,Hungary,HUN,1992-2022,% of LAT_AM,CEE: Hungary,"capitalism
(1992-2022)",0.031138340359483294,0.6367382256939939,0.6055998853345106,10371431,NA,3,1992,103,4,3.5,4.5,0.01,0.61,HUN: +0.61,convergence
Baltics,Latvia,LVA,1973-1989,% of LAT_AM,Baltics: Latvia,"late socialism
(1973/75-1989)",0.5688947945938352,0.6028963882421196,0.03400159364828437,2415721,NA,2,1994,177,2,1.5,2.5,0.01,0.03,LVA: +0.03,convergence
Baltics,Latvia,LVA,1989-1994,% of LAT_AM,Baltics: Latvia,"transition
(1989-1991/92)",0.6028963882421196,-0.09533673812138269,-0.6982331263635022,2664789,NA,2,1994,183,3,2.5,3.5,0.01,-0.7,LVA: -0.7,divergence
Baltics,Latvia,LVA,1994-2022,% of LAT_AM,Baltics: Latvia,"capitalism
(1992-2022)",-0.09533673812138269,0.5579444581469218,0.6532811962683045,2521185,NA,2,1994,91,4,3.5,4.5,0.01,0.65,LVA: +0.65,convergence
Baltics,Lithuania,LTU,1973-1989,% of LAT_AM,Baltics: Lithuania,"late socialism
(1973/75-1989)",0.5361396212051959,0.5390940326516319,0.002954411446436045,3236175,NA,3,1994,171,2,1.5,2.5,0.01,0,LTU: +0,no change
Baltics,Lithuania,LTU,1989-1994,% of LAT_AM,Baltics: Lithuania,"transition
(1989-1991/92)",0.5390940326516319,-0.20118690365830852,-0.7402809363099404,3696048,NA,3,1994,171,3,2.5,3.5,0.01,-0.74,LTU: -0.74,divergence
Baltics,Lithuania,LTU,1994-2022,% of LAT_AM,Baltics: Lithuania,"capitalism
(1992-2022)",-0.20118690365830852,0.6835497532442727,0.8847366569025812,3654839,NA,3,1994,82,4,3.5,4.5,0.01,0.88,LTU: +0.88,convergence
CEE,Poland,POL,1950-1975,% of LAT_AM,CEE: Poland,"early socialism
(1950-1973/75)",0.06440461967109919,0.22460552794578337,0.1602009082746842,24780120,NA,4,1991,107,1,0.5,1.5,0.01,0.16,POL: +0.16,convergence
CEE,Poland,POL,1975-1989,% of LAT_AM,CEE: Poland,"late socialism
(1973/75-1989)",0.22460552794578337,0.05559196281271047,-0.1690135651330729,33964338,NA,4,1991,125,2,1.5,2.5,0.01,-0.17,POL: -0.17,divergence
CEE,Poland,POL,1989-1991,% of LAT_AM,CEE: Poland,"transition
(1989-1991/92)",0.05559196281271047,-0.12766733585902754,-0.183259298671738,37938044,NA,4,1991,106,3,2.5,3.5,0.01,-0.18,POL: -0.18,divergence
CEE,Poland,POL,1991-2022,% of LAT_AM,CEE: Poland,"capitalism
(1992-2022)",-0.12766733585902754,0.7342486997086038,0.8619160355676314,38152898,NA,4,1991,88,4,3.5,4.5,0.01,0.86,POL: +0.86,convergence
CEE,Romania,ROU,1950-1975,% of LAT_AM,CEE: Romania,"early socialism
(1950-1973/75)",-0.6631870716112042,-0.20988154969354425,0.45330552191765994,16397220,NA,5,1992,52,1,0.5,1.5,0.01,0.45,ROU: +0.45,convergence
CEE,Romania,ROU,1975-1989,% of LAT_AM,CEE: Romania,"late socialism
(1973/75-1989)",-0.20988154969354425,-0.31072338791979,-0.10084183822624573,21268014,NA,5,1992,81,2,1.5,2.5,0.01,-0.1,ROU: -0.1,divergence
CEE,Romania,ROU,1989-1992,% of LAT_AM,CEE: Romania,"transition
(1989-1991/92)",-0.31072338791979,-0.610621972804874,-0.299898584885084,22887592,NA,5,1992,73,3,2.5,3.5,0.01,-0.3,ROU: -0.3,divergence
CEE,Romania,ROU,1992-2022,% of LAT_AM,CEE: Romania,"capitalism
(1992-2022)",-0.610621972804874,0.5196607370314967,1.1302827098363708,22912341,NA,5,1992,54,4,3.5,4.5,0.01,1.13,ROU: +1.13,convergence
USSR,Russia,RUS,1950-1975,% of LAT_AM,USSR: Russia,"early socialism
(1950-1973/75)",-0.099371600639772,0.4118118010107802,0.5111834016505522,103392314,NA,2,1998,91,1,0.5,1.5,0.01,0.51,RUS: +0.51,convergence
USSR,Russia,RUS,1975-1989,% of LAT_AM,USSR: Russia,"late socialism
(1973/75-1989)",0.4118118010107802,0.3985082295916882,-0.013303571419091997,134136049,NA,2,1998,151,2,1.5,2.5,0.01,-0.01,RUS: -0.01,divergence
USSR,Russia,RUS,1989-1998,% of LAT_AM,USSR: Russia,"transition
(1989-1991/92)",0.3985082295916882,-0.20078157406831595,-0.5992898036600042,148281823,NA,2,1998,149,3,2.5,3.5,0.01,-0.6,RUS: -0.6,divergence
USSR,Russia,RUS,1998-2022,% of LAT_AM,USSR: Russia,"capitalism
(1992-2022)",-0.20078157406831595,0.4901903429166338,0.6909719169849498,147635488,NA,2,1998,82,4,3.5,4.5,0.01,0.69,RUS: +0.69,convergence
Yugosl.,Serbia,SRB,1952-1979,% of LAT_AM,Yugosl.: Serbia,"early socialism
(1950-1973/75)",-0.6083057447937267,0.24574073507431082,0.8540464798680375,6127217,NA,2,1993,54,1,0.5,1.5,0.01,0.85,SRB: +0.85,convergence
Yugosl.,Serbia,SRB,1979-1989,% of LAT_AM,Yugosl.: Serbia,"late socialism
(1973/75-1989)",0.24574073507431082,0.24624880945022565,5.080743759148243e-4,7758172,NA,2,1993,128,2,1.5,2.5,0.01,0,SRB: +0,no change
Yugosl.,Serbia,SRB,1989-1993,% of LAT_AM,Yugosl.: Serbia,"transition
(1989-1991/92)",0.24624880945022565,-0.6746045427427773,-0.9208533521930029,7881211,NA,2,1993,128,3,2.5,3.5,0.01,-0.92,SRB: -0.92,divergence
Yugosl.,Serbia,SRB,1993-2022,% of LAT_AM,Yugosl.: Serbia,"capitalism
(1992-2022)",-0.6746045427427773,0.0929244621790048,0.767529004921782,7849677,NA,2,1993,51,4,3.5,4.5,0.01,0.77,SRB: +0.77,convergence
CEE,Slovakia,SVK,1950-1975,% of LAT_AM,CEE: Slovakia,"early socialism
(1950-1973/75)",0.3016238213404087,0.3455361959136308,0.04391237457322206,3465707,TRUE,6,1992,135,1,0.5,1.5,0.01,0.04,SVK: +0.04,convergence
CEE,Slovakia,SVK,1975-1989,% of LAT_AM,CEE: Slovakia,"late socialism
(1973/75-1989)",0.3455361959136308,0.3959984243526561,0.050462228439025314,4739131,TRUE,6,1992,141,2,1.5,2.5,0.01,0.05,SVK: +0.05,convergence
CEE,Slovakia,SVK,1989-1992,% of LAT_AM,CEE: Slovakia,"transition
(1989-1991/92)",0.3959984243526561,0.10327097739747443,-0.29272744695518166,5249882,NA,6,1992,149,3,2.5,3.5,0.01,-0.29,SVK: -0.29,divergence
CEE,Slovakia,SVK,1992-2022,% of LAT_AM,CEE: Slovakia,"capitalism
(1992-2022)",0.10327097739747443,0.5688684337638975,0.4655974563664231,5306409,NA,6,1992,111,4,3.5,4.5,0.01,0.47,SVK: +0.47,convergence
Yugosl.,Slovenia,SVN,1952-1979,% of LAT_AM,Yugosl.: Slovenia,"early socialism
(1950-1973/75)",0.052330445456905114,0.9306382358858094,0.8783077904289043,1479622,NA,3,1992,105,1,0.5,1.5,0.01,0.88,SVN: +0.88,convergence
Yugosl.,Slovenia,SVN,1979-1989,% of LAT_AM,Yugosl.: Slovenia,"late socialism
(1973/75-1989)",0.9306382358858094,0.8392717235037942,-0.09136651238201521,1885870,NA,3,1992,254,2,1.5,2.5,0.01,-0.09,SVN: -0.09,divergence
Yugosl.,Slovenia,SVN,1989-1992,% of LAT_AM,Yugosl.: Slovenia,"transition
(1989-1991/92)",0.8392717235037942,0.5553873471436591,-0.2838843763601351,1995417,NA,3,1992,231,3,2.5,3.5,0.01,-0.28,SVN: -0.28,divergence
Yugosl.,Slovenia,SVN,1992-2022,% of LAT_AM,Yugosl.: Slovenia,"capitalism
(1992-2022)",0.5553873471436591,0.7405536999633197,0.18516635281966054,1995805,NA,3,1992,174,4,3.5,4.5,0.01,0.19,SVN: +0.19,convergence
USSR,Ukraine,UKR,1973-1989,% of LAT_AM,USSR: Ukraine,"late socialism
(1973/75-1989)",0.10307240059340572,0.1624744984182617,0.059402097824855976,48277070,NA,3,1998,111,2,1.5,2.5,0.01,0.06,UKR: +0.06,convergence
USSR,Ukraine,UKR,1989-1998,% of LAT_AM,USSR: Ukraine,"transition
(1989-1991/92)",0.1624744984182617,-0.8128318279580184,-0.9753063263762801,51917779,NA,3,1998,118,3,2.5,3.5,0.01,-0.98,UKR: -0.98,divergence
USSR,Ukraine,UKR,1998-2022,% of LAT_AM,USSR: Ukraine,"capitalism
(1992-2022)",-0.8128318279580184,-0.6984420145647834,0.11438981339323506,50379676,NA,3,1998,44,4,3.5,4.5,0.01,0.11,UKR: +0.11,convergence
USSR,Belarus,BLR,1973-1989,% of G7,USSR: Belarus,"late socialism
(1973/75-1989)",-0.9564256930823197,-0.9571695695825417,-7.438765002220071e-4,9205662,NA,1,1995,38,2,1.5,2.5,0.01,-0,BLR: +0,no change
USSR,Belarus,BLR,1989-1995,% of G7,USSR: Belarus,"transition
(1989-1991/92)",-0.9571695695825417,-1.5705214386264839,-0.6133518690439421,10158729,NA,1,1995,38,3,2.5,3.5,0.01,-0.61,BLR: -0.61,divergence
USSR,Belarus,BLR,1995-2022,% of G7,USSR: Belarus,"capitalism
(1992-2022)",-1.5705214386264839,-0.948192288285923,0.6223291503405609,10197421,NA,1,1995,21,4,3.5,4.5,0.01,0.62,BLR: +0.62,convergence
CEE,Bulgaria,BGR,1950-1975,% of G7,CEE: Bulgaria,"early socialism
(1950-1973/75)",-1.2769455539508066,-0.8389545279166972,0.43799102603410933,7248464,NA,1,1999,28,1,0.5,1.5,0.01,0.44,BGR: +0.44,convergence
CEE,Bulgaria,BGR,1975-1989,% of G7,CEE: Bulgaria,"late socialism
(1973/75-1989)",-0.8389545279166972,-1.1397770497005368,-0.3008225217838396,8723102,NA,1,1999,43,2,1.5,2.5,0.01,-0.3,BGR: -0.3,divergence
CEE,Bulgaria,BGR,1989-1999,% of G7,CEE: Bulgaria,"transition
(1989-1991/92)",-1.1397770497005368,-1.545842226743265,-0.40606517704272815,8936335,NA,1,1999,32,3,2.5,3.5,0.01,-0.41,BGR: -0.41,divergence
CEE,Bulgaria,BGR,1999-2022,% of G7,CEE: Bulgaria,"capitalism
(1992-2022)",-1.545842226743265,-0.85178031685634,0.694061909886925,8067415,NA,1,1999,21,4,3.5,4.5,0.01,0.69,BGR: +0.69,convergence
Yugosl.,Croatia,HRV,1952-1979,% of G7,Yugosl.: Croatia,"early socialism
(1950-1973/75)",-1.3276553258781534,-0.5725000981780821,0.7551552277000713,3957359,NA,1,1993,27,1,0.5,1.5,0.01,0.76,HRV: +0.76,convergence
Yugosl.,Croatia,HRV,1979-1989,% of G7,Yugosl.: Croatia,"late socialism
(1973/75-1989)",-0.5725000981780821,-0.7969950997970288,-0.22449500161894664,4626900,NA,1,1993,56,2,1.5,2.5,0.01,-0.22,HRV: -0.22,divergence
Yugosl.,Croatia,HRV,1989-1993,% of G7,Yugosl.: Croatia,"transition
(1989-1991/92)",-0.7969950997970288,-1.3022363546797127,-0.5052412548826839,4820680,NA,1,1993,45,3,2.5,3.5,0.01,-0.51,HRV: -0.51,divergence
Yugosl.,Croatia,HRV,1993-2022,% of G7,Yugosl.: Croatia,"capitalism
(1992-2022)",-1.3022363546797127,-0.5813589845042123,0.7208773701755004,4729691,NA,1,1993,27,4,3.5,4.5,0.01,0.72,HRV: +0.72,convergence
CEE,Czechia,CZE,1950-1975,% of G7,CEE: Czechia,"early socialism
(1950-1973/75)",-0.6893197688477151,-0.674726462728575,0.014593306119140115,8916664,TRUE,2,1992,50,1,0.5,1.5,0.01,0.01,CZE: +0.01,convergence
CEE,Czechia,CZE,1975-1989,% of G7,CEE: Czechia,"late socialism
(1973/75-1989)",-0.674726462728575,-0.7921355175901157,-0.11740905486154074,10030738,NA,2,1992,51,2,1.5,2.5,0.01,-0.12,CZE: -0.12,divergence
CEE,Czechia,CZE,1989-1992,% of G7,CEE: Czechia,"transition
(1989-1991/92)",-0.7921355175901157,-0.912535387854459,-0.12039987026434329,10305562,NA,2,1992,45,3,2.5,3.5,0.01,-0.12,CZE: -0.12,divergence
CEE,Czechia,CZE,1992-2022,% of G7,CEE: Czechia,"capitalism
(1992-2022)",-0.912535387854459,-0.40326779864010354,0.5092675892143554,10312408,NA,2,1992,40,4,3.5,4.5,0.01,0.51,CZE: +0.51,convergence
Baltics,Estonia,EST,1973-1989,% of G7,Baltics: Estonia,"late socialism
(1973/75-1989)",-0.45301268057237715,-0.5003803371015806,-0.04736765652920344,1399299,NA,1,1994,64,2,1.5,2.5,0.01,-0.05,EST: -0.05,divergence
Baltics,Estonia,EST,1989-1994,% of G7,Baltics: Estonia,"transition
(1989-1991/92)",-0.5003803371015806,-1.0044120019456522,-0.5040316648440716,1567538,NA,1,1994,61,3,2.5,3.5,0.01,-0.5,EST: -0.5,divergence
Baltics,Estonia,EST,1994-2022,% of G7,Baltics: Estonia,"capitalism
(1992-2022)",-1.0044120019456522,-0.4732637013717368,0.5311483005739154,1475669,NA,1,1994,37,4,3.5,4.5,0.01,0.53,EST: +0.53,convergence
CEE,Hungary,HUN,1950-1975,% of G7,CEE: Hungary,"early socialism
(1950-1973/75)",-0.8702147830993289,-0.8434833258232114,0.026731457276117476,9337826,NA,3,1992,42,1,0.5,1.5,0.01,0.03,HUN: +0.03,convergence
CEE,Hungary,HUN,1975-1989,% of G7,CEE: Hungary,"late socialism
(1973/75-1989)",-0.8434833258232114,-1.0349515984398743,-0.19146827261666288,10515605,NA,3,1992,43,2,1.5,2.5,0.01,-0.19,HUN: -0.19,divergence
CEE,Hungary,HUN,1989-1992,% of G7,CEE: Hungary,"transition
(1989-1991/92)",-1.0349515984398743,-1.2486129147607143,-0.21366131632084007,10403359,NA,3,1992,36,3,2.5,3.5,0.01,-0.21,HUN: -0.21,divergence
CEE,Hungary,HUN,1992-2022,% of G7,CEE: Hungary,"capitalism
(1992-2022)",-1.2486129147607143,-0.4939481671962173,0.754664747564497,10371431,NA,3,1992,29,4,3.5,4.5,0.01,0.75,HUN: +0.75,convergence
Baltics,Latvia,LVA,1973-1989,% of G7,Baltics: Latvia,"late socialism
(1973/75-1989)",-0.5514002771966883,-0.6819460158433532,-0.13054573864666497,2415721,NA,2,1994,58,2,1.5,2.5,0.01,-0.13,LVA: -0.13,divergence
Baltics,Latvia,LVA,1989-1994,% of G7,Baltics: Latvia,"transition
(1989-1991/92)",-0.6819460158433532,-1.331326725700276,-0.6493807098569229,2664789,NA,2,1994,51,3,2.5,3.5,0.01,-0.65,LVA: -0.65,divergence
Baltics,Latvia,LVA,1994-2022,% of G7,Baltics: Latvia,"capitalism
(1992-2022)",-1.331326725700276,-0.5727419347432894,0.7585847909569867,2521185,NA,2,1994,26,4,3.5,4.5,0.01,0.76,LVA: +0.76,convergence
Baltics,Lithuania,LTU,1973-1989,% of G7,Baltics: Lithuania,"late socialism
(1973/75-1989)",-0.5841554505853277,-0.7457483714338408,-0.16159292084851307,3236175,NA,3,1994,56,2,1.5,2.5,0.01,-0.16,LTU: -0.16,divergence
Baltics,Lithuania,LTU,1989-1994,% of G7,Baltics: Lithuania,"transition
(1989-1991/92)",-0.7457483714338408,-1.437176891237202,-0.6914285198033613,3696048,NA,3,1994,47,3,2.5,3.5,0.01,-0.69,LTU: -0.69,divergence
Baltics,Lithuania,LTU,1994-2022,% of G7,Baltics: Lithuania,"capitalism
(1992-2022)",-1.437176891237202,-0.4471366396459385,0.9900402515912635,3654839,NA,3,1994,24,4,3.5,4.5,0.01,0.99,LTU: +0.99,convergence
CEE,Poland,POL,1950-1975,% of G7,CEE: Poland,"early socialism
(1950-1973/75)",-0.8837130142782766,-0.8429431064810258,0.04076990779725087,24780120,NA,4,1991,41,1,0.5,1.5,0.01,0.04,POL: +0.04,convergence
CEE,Poland,POL,1975-1989,% of G7,CEE: Poland,"late socialism
(1973/75-1989)",-0.8429431064810258,-1.229250441272762,-0.3863073347917363,33964338,NA,4,1991,43,2,1.5,2.5,0.01,-0.39,POL: -0.39,divergence
CEE,Poland,POL,1989-1991,% of G7,CEE: Poland,"transition
(1989-1991/92)",-1.229250441272762,-1.4161158416731234,-0.18686540040036137,37938044,NA,4,1991,29,3,2.5,3.5,0.01,-0.19,POL: -0.19,divergence
CEE,Poland,POL,1991-2022,% of G7,CEE: Poland,"capitalism
(1992-2022)",-1.4161158416731234,-0.39643769318160726,1.0196781484915163,38152898,NA,4,1991,24,4,3.5,4.5,0.01,1.02,POL: +1.02,convergence
CEE,Romania,ROU,1950-1975,% of G7,CEE: Romania,"early socialism
(1950-1973/75)",-1.6113047055605798,-1.2774301841203533,0.33387452144022656,16397220,NA,5,1992,20,1,0.5,1.5,0.01,0.33,ROU: +0.33,convergence
CEE,Romania,ROU,1975-1989,% of G7,CEE: Romania,"late socialism
(1973/75-1989)",-1.2774301841203533,-1.5955657920052624,-0.31813560788490913,21268014,NA,5,1992,28,2,1.5,2.5,0.01,-0.32,ROU: -0.32,divergence
CEE,Romania,ROU,1989-1992,% of G7,CEE: Romania,"transition
(1989-1991/92)",-1.5955657920052624,-1.890373227925072,-0.2948074359198096,22887592,NA,5,1992,20,3,2.5,3.5,0.01,-0.29,ROU: -0.29,divergence
CEE,Romania,ROU,1992-2022,% of G7,CEE: Romania,"capitalism
(1992-2022)",-1.890373227925072,-0.6110256558587146,1.2793475720663574,22912341,NA,5,1992,15,4,3.5,4.5,0.01,1.28,ROU: +1.28,convergence
USSR,Russia,RUS,1950-1975,% of G7,USSR: Russia,"early socialism
(1950-1973/75)",-1.047489234589148,-0.655736833416029,0.39175240117311905,103392314,NA,2,1998,35,1,0.5,1.5,0.01,0.39,RUS: +0.39,convergence
USSR,Russia,RUS,1975-1989,% of G7,USSR: Russia,"late socialism
(1973/75-1989)",-0.655736833416029,-0.8863341744937845,-0.23059734107775554,134136049,NA,2,1998,52,2,1.5,2.5,0.01,-0.23,RUS: -0.23,divergence
USSR,Russia,RUS,1989-1998,% of G7,USSR: Russia,"transition
(1989-1991/92)",-0.8863341744937845,-1.441634567415207,-0.5553003929214224,148281823,NA,2,1998,41,3,2.5,3.5,0.01,-0.56,RUS: -0.56,divergence
USSR,Russia,RUS,1998-2022,% of G7,USSR: Russia,"capitalism
(1992-2022)",-1.441634567415207,-0.6404960499735775,0.8011385174416294,147635488,NA,2,1998,24,4,3.5,4.5,0.01,0.8,RUS: +0.8,convergence
Yugosl.,Serbia,SRB,1952-1979,% of G7,Yugosl.: Serbia,"early socialism
(1950-1973/75)",-1.625862523028175,-0.8341785895524348,0.7916839334757401,6127217,NA,2,1993,20,1,0.5,1.5,0.01,0.79,SRB: +0.79,convergence
Yugosl.,Serbia,SRB,1979-1989,% of G7,Yugosl.: Serbia,"late socialism
(1973/75-1989)",-0.8341785895524348,-1.038593594635247,-0.20441500508281207,7758172,NA,2,1993,43,2,1.5,2.5,0.01,-0.2,SRB: -0.2,divergence
Yugosl.,Serbia,SRB,1989-1993,% of G7,Yugosl.: Serbia,"transition
(1989-1991/92)",-1.038593594635247,-1.9281553577101138,-0.8895617630748669,7881211,NA,2,1993,35,3,2.5,3.5,0.01,-0.89,SRB: -0.89,divergence
Yugosl.,Serbia,SRB,1993-2022,% of G7,Yugosl.: Serbia,"capitalism
(1992-2022)",-1.9281553577101138,-1.0377619307112065,0.8903934269989073,7849677,NA,2,1993,15,4,3.5,4.5,0.01,0.89,SRB: +0.89,convergence
CEE,Slovakia,SVK,1950-1975,% of G7,CEE: Slovakia,"early socialism
(1950-1973/75)",-0.6464938126089673,-0.7220124385131785,-0.07551862590421121,3465707,TRUE,6,1992,52,1,0.5,1.5,0.01,-0.08,SVK: -0.08,divergence
CEE,Slovakia,SVK,1975-1989,% of G7,CEE: Slovakia,"late socialism
(1973/75-1989)",-0.7220124385131785,-0.8888439797328164,-0.16683154121963784,4739131,TRUE,6,1992,49,2,1.5,2.5,0.01,-0.17,SVK: -0.17,divergence
CEE,Slovakia,SVK,1989-1992,% of G7,CEE: Slovakia,"transition
(1989-1991/92)",-0.8888439797328164,-1.1764802777227235,-0.2876362979899071,5249882,NA,6,1992,41,3,2.5,3.5,0.01,-0.29,SVK: -0.29,divergence
CEE,Slovakia,SVK,1992-2022,% of G7,CEE: Slovakia,"capitalism
(1992-2022)",-1.1764802777227235,-0.5618179591263136,0.6146623185964099,5306409,NA,6,1992,31,4,3.5,4.5,0.01,0.61,SVK: +0.61,convergence
Yugosl.,Slovenia,SVN,1952-1979,% of G7,Yugosl.: Slovenia,"early socialism
(1950-1973/75)",-0.9652263327775432,-0.14928108874093604,0.8159452440366072,1479622,NA,3,1992,38,1,0.5,1.5,0.01,0.82,SVN: +0.82,convergence
Yugosl.,Slovenia,SVN,1979-1989,% of G7,Yugosl.: Slovenia,"late socialism
(1973/75-1989)",-0.14928108874093604,-0.44557068058167854,-0.2962895918407425,1885870,NA,3,1992,86,2,1.5,2.5,0.01,-0.3,SVN: -0.3,divergence
Yugosl.,Slovenia,SVN,1989-1992,% of G7,Yugosl.: Slovenia,"transition
(1989-1991/92)",-0.44557068058167854,-0.7243639079765388,-0.2787932273948603,1995417,NA,3,1992,64,3,2.5,3.5,0.01,-0.28,SVN: -0.28,divergence
Yugosl.,Slovenia,SVN,1992-2022,% of G7,Yugosl.: Slovenia,"capitalism
(1992-2022)",-0.7243639079765388,-0.39013269292689157,0.33423121504964726,1995805,NA,3,1992,48,4,3.5,4.5,0.01,0.33,SVN: +0.33,convergence
USSR,Ukraine,UKR,1973-1989,% of G7,USSR: Ukraine,"late socialism
(1973/75-1989)",-1.017222671197118,-1.122367905667211,-0.10514523447009294,48277070,NA,3,1998,36,2,1.5,2.5,0.01,-0.11,UKR: -0.11,divergence
USSR,Ukraine,UKR,1989-1998,% of G7,USSR: Ukraine,"transition
(1989-1991/92)",-1.122367905667211,-2.0536848213049095,-0.9313169156376986,51917779,NA,3,1998,33,3,2.5,3.5,0.01,-0.93,UKR: -0.93,divergence
USSR,Ukraine,UKR,1998-2022,% of G7,USSR: Ukraine,"capitalism
(1992-2022)",-2.0536848213049095,-1.8291284074549947,0.22455641384991476,50379676,NA,3,1998,13,4,3.5,4.5,0.01,0.22,UKR: +0.22,convergence
USSR,Belarus,BLR,1973-1989,% of S_EUR4,USSR: Belarus,"late socialism
(1973/75-1989)",-0.5424485555139618,-0.5913290220498693,-0.048880466535907496,9205662,NA,1,1995,58,2,1.5,2.5,0.01,-0.05,BLR: -0.05,divergence
USSR,Belarus,BLR,1989-1995,% of S_EUR4,USSR: Belarus,"transition
(1989-1991/92)",-0.5913290220498693,-1.2502127206203173,-0.658883698570448,10158729,NA,1,1995,55,3,2.5,3.5,0.01,-0.66,BLR: -0.66,divergence
USSR,Belarus,BLR,1995-2022,% of S_EUR4,USSR: Belarus,"capitalism
(1992-2022)",-1.2502127206203173,-0.5968356561121039,0.6533770645082134,10197421,NA,1,1995,29,4,3.5,4.5,0.01,0.65,BLR: +0.65,convergence
