country,variable,metric,start_yr,end_yr,n_cntr,name,value,column_name,period
Hungary,GDP_per_cap,% of EU8,NA,2024,11,rank_level_start,"4/11 (HU: 52%, CEE: 44.4%)",Rank by level at start,NA
Hungary,GDP_per_cap,% of EU8,NA,2024,11,rank_level_end,"7/11 (HU: 67%, CEE: 70.7%)",Rank by level in last year,NA
Hungary,GDP_per_cap,% of EU8,2004,2024,11,rank_change_from_start,"8/11 (HU: 15%, CEE: 26.3%)",Rank by cumulative change since start,2004-2024
Hungary,GDP_per_cap,% of EU8,NA,2024,11,rank_level_2010,"6/11 (HU: 51%, CEE: 51.6%)",Rank by level in 2010,NA
Hungary,GDP_per_cap,% of EU8,2010,2024,11,rank_change_from_2010,"7/11 (HU: 15%, CEE: 19.2%)",Rank by cumulative change since 2010,2010-2024
Hungary,GNI_per_cap,% of EU8,NA,2023,11,rank_level_start,"3/11 (HU: 51%, CEE: 42.8%)",Rank by level at start,NA
Hungary,GNI_per_cap,% of EU8,NA,2023,11,rank_level_end,"9/11 (HU: 60%, CEE: 65.6%) [2023]",Rank by level in last year,NA
Hungary,GNI_per_cap,% of EU8,2004,2023,11,rank_change_from_start,"10/11 (HU: 9.6%, CEE: 22.8%) [2004-2023]",Rank by cumulative change since start,2004-2023
Hungary,GNI_per_cap,% of EU8,NA,2023,11,rank_level_2010,"5/11 (HU: 50%, CEE: 49.7%)",Rank by level in 2010,NA
Hungary,GNI_per_cap,% of EU8,2010,2023,11,rank_change_from_2010,"8/11 (HU: 10%, CEE: 15.9%) [2010-2023]",Rank by cumulative change since 2010,2010-2023
Hungary,annual_aver_wage,% of EU8,NA,2024,8,rank_level_start,"4/8 (HU: 44%, CEE: 31.4%)",Rank by level at start,NA
Hungary,annual_aver_wage,% of EU8,NA,2024,8,rank_level_end,"8/8 (HU: 52%, CEE: 44.5%)",Rank by level in last year,NA
Hungary,annual_aver_wage,% of EU8,2004,2024,8,rank_change_from_start,"8/8 (HU: 8.3%, CEE: 13.1%)",Rank by cumulative change since start,2004-2024
Hungary,annual_aver_wage,% of EU8,NA,2024,8,rank_level_2010,"7/8 (HU: 43%, CEE: 34.7%)",Rank by level in 2010,NA
Hungary,annual_aver_wage,% of EU8,2010,2024,8,rank_change_from_2010,"6/8 (HU: 9.2%, CEE: 9.8%)",Rank by cumulative change since 2010,2010-2024
Hungary,employment,absolute value (% of 15+ popul.),NA,2024,11,rank_level_start,"6/11 (HU: 49.2%, CEE: 47.2%)",Rank by level at start,NA
Hungary,employment,absolute value (% of 15+ popul.),NA,2024,11,rank_level_end,"4/11 (HU: 57.8%, CEE: 55.3%)",Rank by level in last year,NA
Hungary,employment,absolute value (% of 15+ popul.),2004,2024,11,rank_change_from_start,"3/11 (HU: 8.7%, CEE: 8.1%)",Rank by cumulative change since start,2004-2024
Hungary,employment,absolute value (% of 15+ popul.),NA,2024,11,rank_level_2010,"11/11 (HU: 46.2%, CEE: 49.3%)",Rank by level in 2010,NA
Hungary,employment,absolute value (% of 15+ popul.),2010,2024,11,rank_change_from_2010,"1/11 (HU: 11.6%, CEE: 6%)",Rank by cumulative change since 2010,2010-2024
Hungary,life_exp,absolute value (years),NA,2023,11,rank_level_start,"6/11 (HU: 72.9%, CEE: 73.7%)",Rank by level at start,NA
Hungary,life_exp,absolute value (years),NA,2023,11,rank_level_end,"7/11 (HU: 77%, CEE: 77.8%) [2023]",Rank by level in last year,NA
Hungary,life_exp,absolute value (years),2004,2023,11,rank_change_from_start,"5/11 (HU: 4.1%, CEE: 4.1%) [2004-2023]",Rank by cumulative change since start,2004-2023
Hungary,life_exp,absolute value (years),NA,2023,11,rank_level_2010,"7/11 (HU: 74.5%, CEE: 75.4%)",Rank by level in 2010,NA
Hungary,life_exp,absolute value (years),2010,2023,11,rank_change_from_2010,"5/11 (HU: 2.5%, CEE: 2.4%) [2010-2023]",Rank by cumulative change since 2010,2010-2023
Hungary,median_equiv_net_income,% of EU8,NA,2024,10,rank_level_start,"3/10 (HU: 39%, CEE: 31.7%)",Rank by level at start,NA
Hungary,median_equiv_net_income,% of EU8,2007,2024,10,rank_change_from_start,"10/10 (HU: 5.8%, CEE: 28.1%) [2007-2024]",Rank by cumulative change since start,2007-2024
Hungary,median_equiv_net_income,% of EU8,NA,2024,11,rank_level_2010,"7/11 (HU: 38%, CEE: 38.8%)",Rank by level in 2010,NA
Hungary,median_equiv_net_income,% of EU8,NA,2024,11,rank_level_end,"11/11 (HU: 45%, CEE: 62.4%)",Rank by level in last year,NA
Hungary,median_equiv_net_income,% of EU8,2010,2024,11,rank_change_from_2010,"10/11 (HU: 7.4%, CEE: 23.6%)",Rank by cumulative change since 2010,2010-2024
Hungary,min_wage,% of EU8,NA,2024,11,rank_level_start,"5/11 (HU: 30%, CEE: 28.4%)",Rank by level at start,NA
Hungary,min_wage,% of EU8,NA,2024,11,rank_level_end,"6/11 (HU: 52%, CEE: 63.2%)",Rank by level in last year,NA
Hungary,min_wage,% of EU8,2004,2024,11,rank_change_from_start,"8/11 (HU: 22%, CEE: 34.8%)",Rank by cumulative change since start,2004-2024
Hungary,min_wage,% of EU8,NA,2024,11,rank_level_2010,"8/11 (HU: 29%, CEE: 33.9%)",Rank by level in 2010,NA
Hungary,min_wage,% of EU8,2010,2024,11,rank_change_from_2010,"5/11 (HU: 23%, CEE: 29.3%)",Rank by cumulative change since 2010,2010-2024
Hungary,per_hr_work,% of EU8,NA,2023,11,rank_level_start,"4/11 (HU: 46%, CEE: 39.8%)",Rank by level at start,NA
Hungary,per_hr_work,% of EU8,NA,2023,11,rank_level_end,"9/11 (HU: 52%, CEE: 56.6%) [2023]",Rank by level in last year,NA
Hungary,per_hr_work,% of EU8,2004,2023,11,rank_change_from_start,"11/11 (HU: 5.7%, CEE: 16.9%) [2004-2023]",Rank by cumulative change since start,2004-2023
Hungary,per_hr_work,% of EU8,NA,2023,11,rank_level_2010,"3/11 (HU: 54%, CEE: 46.9%)",Rank by level in 2010,NA
Hungary,per_hr_work,% of EU8,2010,2023,11,rank_change_from_2010,"10/11 (HU: -1.8%, CEE: 9.8%) [2010-2023]",Rank by cumulative change since 2010,2010-2023
